	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Actinobacteria unclassified_phylum_201174	0.0021935270259084514	0.00080286110502883	0.0008556891766882516	0.00215548914907167	0.0017688006390505534	0.0023121387283236996	0.0013549744861187187	0.0026648552617828405	0.002853551652681999	0.0027353117505995203	0.0024905023216547067	0.003516927123153613
Sphingomonadales unclassified	0.00215213972353282	0.0008758484782132691	0.0019195189639222942	0.0026943614363395874	0.0019399748944425425	0.002071290944123314	0.0016144376855882607	0.0010711673111087887	0.00315928932975507	0.0016861510791366906	0.0011819333051920641	0.0019572463989724455
Rhodanobacteraceae	0.00215213972353282	0.0008758484782132691	0.0013876040703052729	0.002718855631215402	0.0015690973410932329	0.0024566473988439307	0.0032000461267910167	0.0014369317588044728	0.0015966300913815945	0.002772781774580336	0.0018151118615449557	0.0020489923239242792
Flammeovirgaceae	0.002069365118781558	0.0	0.00023126734505087883	0.00026943614363395874	0.0006276389364372932	0.0	0.0006342433764811024	0.00028738635176089454	0.00016985426504059517	7.494004796163069e-05	0.0	0.0
Nocardiaceae	0.002069365118781558	0.0005109116122910736	0.0007400555041628122	0.003233233723607505	0.0013693940431359123	0.002023121387283237	0.002652290483466428	0.001672066046608841	0.0025817848286170467	0.003110011990407674	0.001941747572815534	0.002507721948683446
Micrococcales unclassified	0.0019865905140302956	0.0008758484782132691	0.0007631822386679001	0.0015676284720521237	0.001683213511354559	0.0023603082851637765	0.002018047106985326	0.0016198139826523147	0.0015966300913815945	0.002398081534772182	0.0021950189953566907	0.0018960824490045567
Opitutaceae	0.0019452032116546644	0.0017516969564265383	0.002127659574468085	0.0013471807181697937	0.001797329681615885	0.004913294797687861	0.002018047106985326	0.0023252168460654197	0.0030913476237388322	0.0023231414868105514	0.0035457999155761926	0.00486253402244717
Beijerinckiaceae	0.0017796540021521397	0.0016787095832420992	0.0024283071230342275	0.003012785969725175	0.0015405682985279014	0.0017822736030828517	0.0021333640845273443	0.0013846796948479465	0.0018344260624384278	0.0023231414868105514	0.0013929928239763613	0.001773754549068779
Sandaracinaceae	0.0017382666997765085	0.0	0.0004394079555966698	0.0019105472003135256	0.0020826201072692	0.0013969171483622352	0.002738778216622942	0.000731528895391368	0.0018004552094303089	0.0018360311750599521	0.0016884761502743773	0.0018043365240527232
Labilitrichaceae	0.0016968793974008775	0.0	0.00023126734505087883	0.0008328026257776907	0.0010555745749172658	0.0005780346820809249	0.0008648773315651397	0.00041801651165221024	0.0005095627951217855	0.0005620503597122302	0.0005909666525960321	0.0007033854246307227
Firmicutes unclassified	0.0016968793974008775	0.0027005328078242466	0.001364477335800185	0.0011022387694116494	0.0017117425539198905	0.0026493256262042388	0.0017297546631302794	0.002220712718152367	0.0016306009443897136	0.0015737410071942446	0.0033769523005487546	0.002171320223860057
Bacteroidaceae	0.0016968793974008775	0.0010948105977665863	0.0018732654949121185	0.0007838142360260618	0.0026817300011411616	0.003179190751445087	0.0019027301294433072	0.0021423346222175775	0.0016306009443897136	0.0023231414868105514	0.003883495145631068	0.002171320223860057
Anaeromyxobacteraceae	0.0016968793974008775	0.0002189621195533173	0.0007169287696577243	0.0017880762259344534	0.0011411617026132602	0.0025048169556840076	0.0023063395508403726	0.0018026962065001567	0.0025478139756089277	0.0028477218225419665	0.002448290417897847	0.0025994678736352794
Unclassified Bacteria unclassified	0.0016554920950252463	0.0028465075541931244	0.0014801110083256244	0.0012002155489149072	0.0025961428734451674	0.0032273603082851638	0.0025658027503099143	0.004598181628174313	0.004280327479022998	0.0020233812949640288	0.0036724356268467706	0.0049236979724150585
Oscillatoriophycideae unclassified	0.0016554920950252463	0.00029194949273775636	0.0009713228492136911	0.001763582031058639	0.0008273422343946138	0.00043352601156069364	0.0009513650647216536	0.0006792768314348417	0.002242076298535856	0.0011241007194244604	0.0005909666525960321	0.00045872962475916693
Desulfobulbaceae	0.0016554920950252463	0.0002189621195533173	0.004833487511563367	0.0012002155489149072	0.005506105215108981	0.0075626204238921	0.005506385677631389	0.007837809593478942	0.005333423922274688	0.003447242206235012	0.009413254537779654	0.00905226459524756
Clostridiales unclassified	0.001572717490273984	0.0036493686592219544	0.000994449583718779	0.001077744574535835	0.0013123359580052493	0.004142581888246628	0.002681119727851933	0.0027171073257393668	0.0027856099466657606	0.0019859112709832132	0.003588011819333052	0.0027523777485550017
Nocardioidaceae	0.0014899428855227217	0.0004379242391066346	0.0005550416281221092	0.002449419487581443	0.0008273422343946138	0.0015414258188824663	0.0055640441664023986	0.0018288222384784199	0.0033970853008119034	0.00161121103117506	0.002321654706627269	0.0019572463989724455
Desulfarculaceae	0.0014899428855227217	0.0012407853441354646	0.0020582793709528215	0.0006613432616469897	0.00151203925596257	0.00510597302504817	0.0016144376855882607	0.0034225101891524716	0.0022081054455277372	0.0019859112709832132	0.0053186998733642885	0.004709624147527448
Cyanobacteria unclassified	0.0014071682807714593	0.0005838989854755127	0.0010869565217391304	0.0014451574976730515	0.0007702841492639507	0.0005780346820809249	0.0012684867529622048	0.0008099069913261573	0.0035329687128443795	0.001273980815347722	0.0005487547488391727	0.0003364017248233891
Rhodobacterales unclassified	0.001324393676020197	0.0013867600905043429	0.0009250693802035153	0.001077744574535835	0.0009414584046559398	0.00043352601156069364	0.0009513650647216536	0.0006008987355000522	0.0010870672962598092	0.0008992805755395684	0.0008020261713803293	0.0006728034496467782
Nitrosomonadaceae	0.0012830063736445658	0.0	2.312673450508788e-05	0.0010532503796600206	5.705808513066301e-05	0.0	0.0009801943091071583	0.0	0.0	0.003559652278177458	0.0	0.0
Aeromonadaceae	0.0012830063736445658	0.0011677979709510255	0.0015263644773358001	0.001249203938666536	0.0014264521282665755	0.00197495183044316	0.0014991207080462421	0.0015153098547392623	0.0015966300913815945	0.0015737410071942446	0.0019839594765723935	0.002324230098779779
Anaerolineaceae	0.0012830063736445658	0.0	0.00032377428307123034	0.0013226865232939793	0.0008558712769599452	0.005154142581888246	0.0019315593738288119	0.002403594942000209	0.0044162108910554745	0.0028851918465227816	0.005825242718446602	0.004709624147527448
Sinobacteraceae	0.0012416190712689348	0.00014597474636887818	0.0007631822386679001	0.0012736981335423505	0.0009414584046559398	0.001348747591522158	0.0013838037305042236	0.0010189152471522624	0.0010870672962598092	0.0016486810551558752	0.0003376952300548755	0.0013456068992935563
Halobacteria unclassified	0.0012416190712689348	0.0002189621195533173	9.250693802035152e-05	0.00026943614363395874	0.0003138194682186466	0.0006262042389210019	0.0002594631994695419	0.00015675619186957885	0.0004076502360974284	0.00048711031175059953	0.00037990713381173493	0.0006116394996788893
Corynebacteriales unclassified	0.0012002317688933036	0.0005838989854755127	0.0006244218316373728	0.0011512271591632784	0.0007417551066986192	0.0012042389210019267	0.0014991207080462421	0.0012540495349566308	0.0012569215613004042	0.001386390887290168	0.0018151118615449557	0.001651426649133001
Spirochaetaceae	0.0012002317688933036	0.005109116122910737	0.005319148936170213	0.0001469651692548866	0.00396553691658108	0.003323699421965318	0.0016432669299737653	0.004624307660152576	0.004789890274144784	0.0017610911270983212	0.002743773744195863	0.0020489923239242792
Methylococcaceae	0.0012002317688933036	0.0010948105977665863	0.0012257169287696577	0.0014451574976730515	0.0017688006390505534	0.0024084778420038534	0.0022486810620693633	0.0019333263663914725	0.002072222033495261	0.0019109712230215828	0.0015196285352469397	0.002232484173827946
Micrococcaceae	0.0011174571641420412	0.0007298737318443909	0.0007631822386679001	0.0012002155489149072	0.0006561679790026247	0.0023121387283236996	0.0015567791968172514	0.0012540495349566308	0.0018004552094303089	0.001199040767386091	0.001941747572815534	0.0015596807241811676
Scytonemataceae	0.0011174571641420412	0.0009488358513977082	0.00046253469010175765	0.0008817910155293195	0.0006276389364372932	0.0003853564547206166	0.0007207311096376164	0.0006531507994565785	0.000985154737235452	0.0008243405275779376	0.00021105951878429716	0.00036698369980733353
Cytophagaceae	0.0011174571641420412	0.00014597474636887818	0.0005319148936170213	0.0025229020722088865	0.0004564646810453041	0.0003371868978805395	0.0014702914636607375	0.0005225206395652628	0.00044162108910554744	0.0006744604316546763	0.0005487547488391727	0.0004893115997431114
Paenibacillaceae	0.00107606986176641	0.00080286110502883	0.0012025901942645698	0.001298192328418165	0.0010841036174825973	0.0017822736030828517	0.0012108282641911956	0.0015936879506740517	0.001868396915446547	0.0020233812949640288	0.0013929928239763613	0.001651426649133001
Rhodothermaceae	0.00107606986176641	0.0007298737318443909	0.0003700277520814061	0.0013716749130456081	0.0007702841492639507	0.0016859344894026974	0.0009513650647216536	0.0018026962065001567	0.0014607466793491184	0.0016861510791366906	0.002110595187842972	0.0018960824490045567
Chloroflexi unclassified	0.00107606986176641	0.0	0.00039315448658649397	0.0005143780923921031	0.0007988131918292822	0.0016377649325626203	0.0007495603540231211	0.0012540495349566308	0.001019125590243571	0.0012365107913669064	0.0018573237653018151	0.0014373528242453899
Bacillales unclassified	0.001034682559390779	0.00160572221005766	0.0006706753006475485	0.0010532503796600206	0.0005991098938719617	0.001300578034682081	0.001095511286649177	0.0008099069913261573	0.0012908924143085233	0.000636990407673861	0.0010975094976783454	0.0016208446741490566
Verrucomicrobiaceae	0.0009932952570151478	0.0	0.0010638297872340426	0.0010532503796600206	0.0005991098938719617	0.0019267822736030828	0.0012396575085767002	0.002403594942000209	0.0016306009443897136	0.0010491606714628297	0.0020683832840861123	0.0028135416985228907
Chromobacteriaceae	0.0009519079546395166	0.0006568863586599519	0.0006244218316373728	0.0009552736001567628	0.0009129293620906082	0.001300578034682081	0.002335168795225877	0.0009144111192392099	0.001121038149267928	0.001498800959232614	0.0007176023638666104	0.0012844429493256673
Xanthomonadales unclassified	0.0009519079546395166	0.0005109116122910736	0.0007400555041628122	0.001469651692548866	0.0009414584046559398	0.0012524084778420038	0.0011531697754201863	0.0009666631831957362	0.0012229507082922853	0.0017985611510791368	0.000970873786407767	0.001253860974341723
Bacteroidales unclassified	0.0009105206522638854	0.0016787095832420992	0.002358926919518964	0.0005878606770195464	0.002539084788314504	0.002601156069364162	0.002018047106985326	0.0030567457414567875	0.0016645717973978328	0.0010491606714628297	0.0020683832840861123	0.0014985167742132786
Nocardiopsaceae	0.0008691333498882542	0.0002189621195533173	0.00032377428307123034	0.0006858374565228041	0.00034234851078397807	0.001445086705202312	0.0005189263989390838	0.0006008987355000522	0.000985154737235452	0.0011615707434052757	0.0008864499788940482	0.0010703691244380563
Cystobacterineae unclassified	0.0008691333498882542	0.0002189621195533173	0.0001387604070305273	0.0008572968206535051	0.0005991098938719617	0.0008188824662813102	0.001009023553492663	0.0007837809593478943	0.0011889798552841661	0.0009367505995203837	0.0012241452089489235	0.0008868772745343895
Deinococcaceae	0.0008691333498882542	0.00029194949273775636	0.0003469010175763182	0.0007838142360260618	0.00048499372361063563	0.0008188824662813102	0.001009023553492663	0.0013324276308914202	0.001019125590243571	0.0008992805755395684	0.0008864499788940482	0.0014067708492614454
Pseudonocardiaceae	0.0008691333498882542	0.00014597474636887818	0.00032377428307123034	0.0007103316513986186	0.0005420518087412986	0.0008670520231213873	0.0009513650647216536	0.0006270247674783154	0.0009511838842273329	0.0005620503597122302	0.001055297593921486	0.0012232789993577786
Parvularculaceae	0.0008691333498882542	7.298737318443909e-05	0.0002543940795559667	0.0008572968206535051	0.0003994065959146411	0.00024084778420038535	0.0007783895984086257	0.00039189047967394715	0.0009511838842273329	0.00048711031175059953	0.00021105951878429716	0.00030581974983944464
Moraxellaceae	0.000786358745136992	0.00036493686592219544	0.0004394079555966698	0.00041640131288884537	0.00048499372361063563	0.0005298651252408478	0.0005189263989390838	0.0003135123837391577	0.0003736793830893094	0.0006744604316546763	0.0005065428450823132	0.0004281476497752225
Parcubacteria group unclassified	0.000786358745136992	0.0013867600905043429	0.0006475485661424607	0.00031842453338558764	0.0009699874472212713	0.0011078998073217727	0.0007783895984086257	0.0010189152471522624	0.0009511838842273329	0.001386390887290168	0.002152807091599831	0.0009480412245022784
Intrasporangiaceae	0.0007449714427613609	0.00029194949273775636	0.00039315448658649397	0.0008083084309018762	0.0005991098938719617	0.0007707129094412332	0.0009513650647216536	0.00041801651165221024	0.0006114753541461426	0.0009742206235011991	0.0005487547488391727	0.0006728034496467782
Syntrophobacteraceae	0.0007449714427613609	0.0	0.0004394079555966698	0.00031842453338558764	0.00048499372361063563	0.0019267822736030828	0.00043243866578256986	0.0006531507994565785	0.0009172130312192139	0.0005620503597122302	0.0016884761502743773	0.00171259059910089
Thermaceae	0.0007035841403857297	7.298737318443909e-05	0.00046253469010175765	0.0009797677950325772	0.0009985164897866028	0.0015414258188824663	0.0012108282641911956	0.0015153098547392623	0.0016306009443897136	0.0014613309352517986	0.001941747572815534	0.002293648123795835
Clostridia unclassified	0.0007035841403857297	0.0008758484782132691	0.00041628122109158184	0.0002449419487581443	0.0003994065959146411	0.0012042389210019267	0.0005765848877100931	0.0008882850872609468	0.000985154737235452	0.0005245803357314149	0.001350780920219502	0.0014985167742132786
Solibacterales unclassified	0.0007035841403857297	0.0	0.0	0.0002939303385097732	0.00017117425539198904	4.816955684007707e-05	0.0006054141320955978	0.00020900825582610512	0.0002717668240649523	0.0004496402877697842	0.00021105951878429716	0.0004281476497752225
Halobacteriaceae	0.0007035841403857297	0.0	9.250693802035152e-05	7.34825846274433e-05	8.558712769599452e-05	0.0001926782273603083	0.00023063395508403725	0.00033963841571742084	0.0002717668240649523	0.00014988009592326138	0.00029548332629801604	0.00039756567479127804
Haloferacaceae	0.0007035841403857297	0.00014597474636887818	4.625346901017576e-05	0.00017145936413070101	0.0002567613830879836	0.0003853564547206166	0.00017297546631302795	0.00023513428780436827	0.0003057376770730713	0.0004121702637889688	0.0005065428450823132	0.0005504755497110004
Vibrionaceae	0.0006621968380100985	0.00080286110502883	0.00048566142460684553	0.00026943614363395874	0.00019970329795732054	0.00014450867052023122	0.0008072188427941303	0.0006270247674783154	0.0006454462071542617	0.0003747002398081535	0.0002532714225411566	0.0002752377748555002
Nitrospinaceae	0.0006621968380100985	0.0	0.0	0.0002449419487581443	0.0	0.0	0.00023063395508403725	0.00039189047967394715	3.3970853008119036e-05	0.000636990407673861	4.2211903756859436e-05	0.0005810575246949448
Vulgatibacteraceae	0.0006208095356344674	0.0	0.00016188714153561517	0.0005878606770195464	0.00028529042565331506	0.000722543352601156	0.000663072620866607	0.0004441425436304734	0.0008153004721948568	0.0008243405275779376	0.0008020261713803293	0.0009480412245022784
Desulfuromonadaceae	0.0006208095356344674	0.00029194949273775636	0.0006706753006475485	0.00044089550776465976	0.0009129293620906082	0.0015414258188824663	0.0010666820422636722	0.0012540495349566308	0.0011550090022760472	0.0010491606714628297	0.0017728999577880963	0.0018043365240527232
Prochlorotrichaceae	0.0006208095356344674	0.0	0.00018501387604070305	0.0007103316513986186	0.0002567613830879836	0.0	0.000663072620866607	0.0	0.001868396915446547	0.0004496402877697842	0.0	0.0
Halothiobacillaceae	0.0005794222332588362	0.00029194949273775636	0.0002775208140610546	4.8988389751628865e-05	0.0011126326600479288	0.0	0.00028829244385504657	0.0005486466715435259	0.0002038251180487142	0.0002248201438848921	0.0005065428450823132	0.00018349184990366677
Verrucomicrobia subdivision 3	0.0005794222332588362	0.0	0.0	0.0004653897026404742	0.0	0.0008670520231213873	0.00028829244385504657	0.00023513428780436827	0.0003736793830893094	0.0	0.0006331785563528915	0.0010092051744701673
Verrucomicrobia unclassified	0.0005794222332588362	0.003065469673746442	0.0030296022201665124	0.00044089550776465976	0.0032237818098824604	0.005876685934489403	0.0033730215931040445	0.0005225206395652628	0.005809015864388355	0.002810251798561151	0.007809202195018995	0.0008868772745343895
Frankiaceae	0.0005794222332588362	0.00014597474636887818	0.00039315448658649397	0.0006858374565228041	0.00028529042565331506	0.0003371868978805395	0.0004612679101680745	0.00033963841571742084	0.0006794170601623807	0.0010491606714628297	0.0007176023638666104	0.0006422214746628337
Rikenellaceae	0.000538034930883205	0.0005838989854755127	0.00046253469010175765	0.0007103316513986186	0.0010841036174825973	0.0009152215799614644	0.0009801943091071583	0.0008882850872609468	0.0012229507082922853	0.001086630695443645	0.001350780920219502	0.0010092051744701673
Nostocaceae	0.000538034930883205	0.00029194949273775636	0.00048566142460684553	0.0012002155489149072	0.0005705808513066301	0.0003371868978805395	0.0006054141320955978	0.00039189047967394715	0.0012229507082922853	0.0003747002398081535	0.0001266357112705783	9.174592495183338e-05
Cytophagales unclassified	0.000538034930883205	7.298737318443909e-05	9.250693802035152e-05	0.00022044775388232988	0.00019970329795732054	4.816955684007707e-05	0.00028829244385504657	0.00010450412791305256	0.00013588341203247614	0.00018735011990407674	8.442380751371887e-05	6.116394996788892e-05
Puniceicoccaceae	0.000538034930883205	0.00160572221005766	0.0008556891766882516	0.00026943614363395874	0.0004564646810453041	0.0003371868978805395	0.0004900971545535791	0.0006008987355000522	0.00047559194211366647	0.0	0.0003376952300548755	0.0002446557998715557
Armatimonadetes unclassified	0.000538034930883205	7.298737318443909e-05	9.250693802035152e-05	0.0003674129231372165	0.00011411617026132602	0.00028901734104046245	8.648773315651397e-05	0.0006270247674783154	0.0003057376770730713	0.0002248201438848921	0.001350780920219502	0.0014373528242453899
Holophagaceae	0.0004966476285075739	0.0	0.00041628122109158184	0.00031842453338558764	0.0005991098938719617	0.0008670520231213873	0.0003171216882405512	0.0009144111192392099	0.0006794170601623807	0.000861810551558753	0.001266357112705783	0.0012232789993577786
Solirubrobacteraceae	0.0004966476285075739	7.298737318443909e-05	0.00011563367252543941	0.0004653897026404742	0.0006276389364372932	0.0006262042389210019	0.0005477556433245885	0.0005486466715435259	0.0008153004721948568	0.00029976019184652276	0.0008442380751371887	0.0009174592495183339
Alcanivoracaceae	0.0004552603261319427	0.0005109116122910736	0.00016188714153561517	9.797677950325773e-05	0.0003994065959146411	0.00043352601156069364	0.0006342433764811024	0.00039189047967394715	0.0008153004721948568	0.0004496402877697842	0.0002532714225411566	0.0004893115997431114
Syntrophaceae	0.0004552603261319427	7.298737318443909e-05	0.0007400555041628122	2.4494194875814433e-05	0.0008558712769599452	0.002552986512524085	0.00043243866578256986	0.0011756714390218413	0.0008492713252029758	0.0007119304556354916	0.0035457999155761926	0.002446557998715557
Stigonematales unclassified	0.0004552603261319427	0.0002189621195533173	0.00032377428307123034	0.00044089550776465976	0.00011411617026132602	4.816955684007707e-05	0.00040360942139706517	0.00028738635176089454	0.0008492713252029758	0.00033723021582733815	0.0001266357112705783	6.116394996788892e-05
Micromonosporaceae	0.0004552603261319427	0.0002189621195533173	0.0002543940795559667	0.0003674129231372165	0.00022823234052265205	0.0007707129094412332	0.0010378527978781675	0.0005225206395652628	0.0005095627951217855	0.0004496402877697842	0.00042211903756859433	0.0007033854246307227
Chromatiales unclassified	0.0004552603261319427	0.0005109116122910736	0.00041628122109158184	0.0004653897026404742	0.0008273422343946138	0.0005298651252408478	0.00028829244385504657	0.0005225206395652628	0.0005775045011380236	0.0005245803357314149	0.0004643309413254538	0.0007951313495825561
Actinomycetaceae	0.0004552603261319427	0.00029194949273775636	0.0003469010175763182	0.00034291872826140203	0.00048499372361063563	0.0009152215799614644	0.0004612679101680745	0.000731528895391368	0.0006114753541461426	0.000749400479616307	0.0007598142676234699	0.0006116394996788893
Halieaceae	0.0004552603261319427	0.0002189621195533173	0.0002543940795559667	0.0002449419487581443	0.0003708775533493096	0.0	0.0004612679101680745	0.00015675619186957885	0.0003057376770730713	0.0004121702637889688	0.0	0.0007033854246307227
Legionellaceae	0.0004552603261319427	0.00014597474636887818	9.250693802035152e-05	0.00044089550776465976	0.00014264521282665753	0.00024084778420038535	0.00023063395508403725	0.00010450412791305256	0.0002038251180487142	0.00014988009592326138	0.0001266357112705783	9.174592495183338e-05
Desulfovibrionales unclassified	0.0004138730237563116	0.0009488358513977082	0.0007863089731729879	0.00041640131288884537	0.0007702841492639507	0.0015414258188824663	0.0006054141320955978	0.001123419375065315	0.0008832421782110949	0.0009742206235011991	0.0015196285352469397	0.0013456068992935563
