	1	2	3	4
PF00001	0.0	4.5491972941374495e-05	3.43101431076069e-05	2.9191587633146074e-05
PF00002	0.0	0.0	0.0	6.487019474032461e-06
PF00003	0.0	0.0	3.43101431076069e-06	9.730529211048691e-06
PF00004	0.0034770816853414927	0.0035574722840154855	0.0035030656112866646	0.0038889681746824604
PF00005	0.013725779952885543	0.01191434771334598	0.011847292415056663	0.012036664634067232
PF00006	0.0011430906040560157	0.001082708956004713	0.0008989257494193008	0.0011579329761147942
PF00008	1.3039056320030598e-05	3.63935783530996e-05	2.0586085864564142e-05	2.5948077896129843e-05
PF00009	0.0019384730395778822	0.0018242281149491173	0.001650317883475892	0.001719060160618602
PF00010	0.0	1.3647591882412348e-05	3.43101431076069e-06	9.730529211048691e-06
PF00011	0.0005867575344013769	0.0005822972536495936	0.00043230780315584694	0.0005319355968706618
PF00012	0.0012169785898695224	0.0013147180180057229	0.0015439564398423106	0.0013590305798098007
PF00013	0.00029120559114735004	0.0002684026403541095	0.00025389505899629106	0.0003308379931756555
PF00014	0.0	0.0	6.86202862152138e-06	6.487019474032461e-06
PF00015	0.0011648223645894002	0.0004594689267078824	0.001019011250295925	0.0005676142039778403
PF00016	0.0001521223237336903	9.098394588274899e-05	9.949941501206001e-05	5.838317526629215e-05
PF00017	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00018	0.0	1.3647591882412348e-05	6.86202862152138e-06	3.5678607107178535e-05
PF00019	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00020	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00021	0.0	0.0	3.43101431076069e-06	0.0
PF00022	7.823433792018359e-05	9.098394588274899e-05	7.20513005259745e-05	5.838317526629215e-05
PF00023	0.00034336181642747243	0.0005004117023551195	0.000586703447140078	0.0004248997755491262
PF00024	1.3039056320030598e-05	2.2745986470687248e-05	6.86202862152138e-06	3.2435097370162304e-06
PF00025	9.996609845356791e-05	0.00025475504847169715	0.00023330897313172694	0.00016866250632484398
PF00026	0.0	0.0	0.0	6.487019474032461e-06
PF00027	0.0012126322377628456	0.0009325854452981771	0.0011699758799693953	0.0009244002750496257
PF00028	0.00013473691530698284	0.00011372993235343623	8.234434345825657e-05	5.838317526629215e-05
PF00030	4.346352106676866e-06	4.54919729413745e-06	6.86202862152138e-06	9.730529211048691e-06
PF00031	4.346352106676866e-06	0.0	0.0	0.0
PF00032	6.954163370682985e-05	5.459036752964939e-05	8.234434345825657e-05	3.2435097370162304e-05
PF00033	0.00012169785898695226	0.00010918073505929878	9.263738639053864e-05	8.757476289943823e-05
PF00034	0.0005302549570145777	0.0003502881916485836	0.0005009280893710608	0.000408682226864045
PF00035	0.00011300515477359851	8.643474858861154e-05	7.891332914749587e-05	0.00010379231158451937
PF00036	0.0001782004363737515	0.0002411074565892848	0.00022644694451020555	0.00025299375948726596
PF00037	0.0028077434609132556	0.0038941128837816567	0.0024840543609907398	0.0038013934117830223
PF00038	0.0	0.0	0.0	3.2435097370162304e-06
PF00040	0.0	0.0	0.0	3.2435097370162304e-06
PF00041	0.0002694738306139657	0.0003684849808251334	0.00029506723072541933	0.00042814328528614244
PF00042	3.477081685341493e-05	1.3647591882412348e-05	1.0293042932282071e-05	3.2435097370162304e-06
PF00043	0.0001521223237336903	8.643474858861154e-05	0.0001784127441595559	7.46007239513733e-05
PF00044	0.0002477420700805814	0.00027295183764824694	0.0002401710017532483	0.0002659677984353309
PF00045	4.346352106676866e-06	9.0983945882749e-06	0.0	6.487019474032461e-06
PF00046	0.0	1.3647591882412348e-05	1.715507155380345e-05	2.5948077896129843e-05
PF00047	1.3039056320030598e-05	6.368876211792429e-05	3.087912879684621e-05	7.784423368838953e-05
PF00050	4.346352106676866e-06	1.81967891765498e-05	1.715507155380345e-05	1.6217548685081152e-05
PF00052	8.692704213353732e-06	9.0983945882749e-06	3.43101431076069e-06	3.2435097370162304e-06
PF00053	8.692704213353732e-06	9.0983945882749e-06	6.86202862152138e-06	2.5948077896129843e-05
PF00054	3.477081685341493e-05	2.2745986470687248e-05	2.401710017532483e-05	7.135721421435707e-05
PF00055	0.0	0.0	0.0	3.2435097370162304e-06
PF00056	0.00022601030954719702	0.00023655825929514736	0.00022987795882096625	0.00025299375948726596
PF00057	0.0	1.3647591882412348e-05	6.86202862152138e-06	9.730529211048691e-06
PF00058	4.346352106676866e-06	4.5491972941374495e-05	3.774115741836759e-05	4.2165626581210996e-05
PF00059	2.173176053338433e-05	5.0041170235511943e-05	3.087912879684621e-05	8.757476289943823e-05
PF00060	3.0424464746738064e-05	1.81967891765498e-05	3.087912879684621e-05	3.2435097370162304e-06
PF00061	4.346352106676866e-06	4.54919729413745e-06	1.0293042932282071e-05	9.730529211048691e-06
PF00062	0.0	0.0	0.0	3.2435097370162304e-06
PF00063	3.0424464746738064e-05	5.0041170235511943e-05	3.774115741836759e-05	4.5409136318227226e-05
PF00066	0.0	0.0	0.0	6.487019474032461e-06
PF00067	0.0001651613800537209	0.00012282832694171113	0.00026761911623933383	0.0001167663505325843
PF00068	0.0	0.0	0.0	0.0
PF00069	0.0019602048001112664	0.0035756690731920354	0.004573542076244	0.003730036197568665
PF00070	0.0018471996453376682	0.002074433966126677	0.0014375949962087292	0.0018163654527290892
PF00071	0.00014342961952033657	0.0002956978241189342	0.00029163621641465867	0.00024650674001323354
PF00072	0.009822755761089718	0.008984664655921463	0.010948366665637362	0.009101288322067544
PF00075	0.0001912394926937821	0.00020926307553032267	0.0001715507155380345	0.00015244495763976282
PF00076	0.0002173176053338433	0.00028205023223652184	0.0002779121591716159	0.00028867236659444454
PF00077	2.173176053338433e-05	4.094277564723705e-05	2.0586085864564142e-05	4.5409136318227226e-05
PF00078	0.0005693721259746695	0.0012783244396526233	0.0008749086492439759	0.0011352284079556806
PF00079	0.00010431245056024478	0.00023655825929514736	0.0001372405724304276	0.00025948077896129843
PF00080	3.0424464746738064e-05	1.3647591882412348e-05	1.372405724304276e-05	9.730529211048691e-06
PF00081	0.00016081502794704404	0.00013647591882412347	0.00020242984433488072	0.00017839303553589267
PF00082	0.0007693043228818053	0.0011463977181226373	0.0010018561787421216	0.001151445956640762
PF00083	0.0005259086049079008	0.0005595512671789063	0.00043573881746660766	0.0005805882429259052
PF00084	0.0	1.3647591882412348e-05	1.0293042932282071e-05	0.0
PF00085	0.0009866219282156487	0.0008370523021212907	0.0009469599497699504	0.00081736445372809
PF00086	0.0	0.0	0.0	0.0
PF00088	0.0	4.54919729413745e-06	0.0	0.0
PF00089	0.0005346013091212545	0.0005686496617671812	0.0007239440195705056	0.0005935622818739702
PF00090	0.0	4.54919729413745e-06	1.0293042932282071e-05	3.2435097370162304e-06
PF00091	0.00016950773216039777	0.00021836147011859757	0.00019899883002412003	0.00024650674001323354
PF00092	0.000617181999148115	0.0008916426696509401	0.0009023567637300615	0.0008206079634651063
PF00093	0.0	4.54919729413745e-06	0.0	0.0
PF00094	1.3039056320030598e-05	4.54919729413745e-06	6.86202862152138e-06	0.0
PF00095	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00096	2.6078112640061195e-05	5.0041170235511943e-05	1.372405724304276e-05	6.487019474032461e-05
PF00097	2.6078112640061195e-05	1.3647591882412348e-05	1.715507155380345e-05	0.0
PF00098	3.911716896009179e-05	8.643474858861154e-05	2.0586085864564142e-05	9.081827263645445e-05
PF00101	5.215622528012239e-05	9.0983945882749e-06	3.774115741836759e-05	1.2974038948064922e-05
PF00102	2.6078112640061195e-05	3.63935783530996e-05	4.1172171729128285e-05	2.5948077896129843e-05
PF00104	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00105	0.0	4.54919729413745e-06	0.0	3.2435097370162304e-06
PF00106	0.004276810472970036	0.003643907032604097	0.003853029070984255	0.0036327309054581783
PF00107	0.0007649579707751284	0.0007733635400033664	0.0008062883630287622	0.0008465560413612362
PF00108	0.000843192308695312	0.0008416014994154282	0.0006278756188692063	0.0007103286324065545
PF00109	0.001038778153495771	0.0011100041397695377	0.0013140784810213443	0.001109280330059551
PF00110	0.0	0.0	0.0	0.0
PF00111	0.0007345335060283904	0.0006550844103557928	0.0006484617047337705	0.0007135721421435707
PF00112	4.7809873173445524e-05	0.00021381227282446012	0.00016125767260575244	0.00019461058422097383
PF00113	0.00037813263328088736	0.00039123096729582065	0.00043230780315584694	0.0004573348729192885
PF00114	3.0424464746738064e-05	9.0983945882749e-06	2.401710017532483e-05	3.2435097370162304e-06
PF00115	0.0005737184780813463	0.0004412721375313326	0.0006004275043831208	0.00048328295081541834
PF00116	9.561974634689105e-05	0.00011372993235343623	0.00012351651518738483	5.189615579225969e-05
PF00117	0.0011952468293361382	0.00112365173165195	0.0012420271804953699	0.0012065856221700377
PF00118	0.0007910360834151896	0.001132750126240225	0.0009263738639053863	0.00106711470347834
PF00119	0.00023470301376055078	0.0002411074565892848	0.0002744811448608552	0.00017190601606186022
PF00120	0.0005780648301880232	0.0005550020698847688	0.0005180831609248642	0.0005611271845038079
PF00121	0.00029120559114735004	0.0002684026403541095	0.0002779121591716159	0.0003081334250165419
PF00122	0.000682377280748268	0.0007369699616502668	0.0006656167762875739	0.0007557377687247817
PF00123	0.0	0.0	0.0	0.0
PF00124	0.00028685923904067315	5.0041170235511943e-05	0.00016811970122727383	5.513966552927592e-05
PF00125	1.7385408426707463e-05	1.3647591882412348e-05	1.715507155380345e-05	1.6217548685081152e-05
PF00126	0.0007388798581350672	0.0003229930078837589	0.0004803420035064966	0.0003924646781789639
PF00127	5.215622528012239e-05	1.81967891765498e-05	3.43101431076069e-05	1.6217548685081152e-05
PF00128	0.0011648223645894002	0.0009553314317688644	0.0011459587797940706	0.0008238514732021226
PF00130	0.0	0.0	0.0	0.0
PF00132	0.001325637392536444	0.0015012351070653584	0.0012317341375630878	0.0013395695213877033
PF00133	0.0017646189553108076	0.002097179952597364	0.0019762642429981573	0.0020888202706384525
PF00134	4.346352106676866e-06	4.54919729413745e-06	1.715507155380345e-05	1.2974038948064922e-05
PF00135	0.00019993219690713583	0.0002911486268247968	0.00022644694451020555	0.0002692113081723471
PF00136	7.823433792018359e-05	0.00022291066741273501	9.949941501206001e-05	0.00014595793816573038
PF00137	0.00019558584480045896	0.00019106628635377288	0.00018870578709183797	0.00024975024975024975
PF00139	2.6078112640061195e-05	2.7295183764824696e-05	6.86202862152138e-06	9.730529211048691e-06
PF00140	0.00034770816853414927	0.00027295183764824694	0.00036368751694063317	0.0002432632302762173
PF00141	0.0003607472248541799	0.0003093454160013466	0.00025389505899629106	0.00030164640554250944
PF00142	0.0004650596754144247	0.000313894613295484	0.0003808425884944366	0.0002756983276463796
PF00144	0.0009909682803223255	0.0010417661803574759	0.0009400979211484291	0.0008919651776794634
PF00145	0.00036509357696085673	0.00025020585117755973	0.0003945666457374794	0.0002789418373833958
PF00146	0.0003607472248541799	0.0004594689267078824	0.0004082907029805221	0.0005027440092375158
PF00147	4.346352106676866e-06	9.0983945882749e-06	1.372405724304276e-05	9.730529211048691e-06
PF00148	0.0007693043228818053	0.000313894613295484	0.0006347376474907277	0.00034381203212372044
PF00149	0.001073548970349186	0.0010963565478871254	0.001084200522200378	0.0010865757619004373
PF00150	0.00010865880266692165	0.00017741869447136053	0.0002504640446855304	0.0002335327010651686
PF00151	0.0	4.54919729413745e-06	6.86202862152138e-06	9.730529211048691e-06
PF00152	0.0009822755761089718	0.0011918896910640118	0.001008718207363643	0.0010865757619004373
PF00153	1.3039056320030598e-05	4.54919729413745e-06	3.43101431076069e-05	2.5948077896129843e-05
PF00154	0.0004172498022409791	0.0005322560834140816	0.0005077901179925821	0.00048003944107840213
PF00155	0.0030294074183537757	0.003038863792483816	0.0026590360908395347	0.0028380710198892016
PF00156	0.0007606116186684516	0.0006186908320026932	0.000686202862152138	0.0006454584376662299
PF00157	4.346352106676866e-06	4.54919729413745e-06	3.43101431076069e-06	3.2435097370162304e-06
PF00158	0.0031424125731273744	0.002984273424954167	0.002847741877931373	0.003418659262815107
PF00160	0.0003868253374942411	0.0003866817700016832	0.0003533944740083511	0.00038597765870493144
PF00161	8.692704213353732e-06	0.0	0.0	0.0
PF00162	0.0004433279148810403	0.00044582133482547003	0.0004014286743590008	0.00047355242160436966
PF00163	0.0001521223237336903	0.00010918073505929878	0.00013037854380890622	0.00011027933105855183
PF00164	0.00011300515477359851	0.00015922190529481074	0.0001063614436335814	0.00018488005500992514
PF00165	0.0009866219282156487	0.000636887621179243	0.0007445301054350697	0.0006551889668772786
PF00166	0.0002738201827206426	0.0003275422051778964	0.00023330897313172694	0.00030164640554250944
PF00167	0.0	0.0	0.0	0.0
PF00168	4.346352106676866e-06	4.094277564723705e-05	2.744811448608552e-05	1.9461058422097383e-05
PF00169	4.346352106676866e-06	9.0983945882749e-06	0.0	9.730529211048691e-06
PF00170	0.0	1.3647591882412348e-05	3.43101431076069e-06	6.487019474032461e-06
PF00171	0.0017993897721642225	0.0015148826989477707	0.0015576804970853534	0.0015017450082385148
PF00172	0.0	0.0	0.0	0.0
PF00173	2.173176053338433e-05	1.81967891765498e-05	1.0293042932282071e-05	1.2974038948064922e-05
PF00174	0.0001651613800537209	0.0001637711025889482	0.00020242984433488072	0.00012000986026960053
PF00175	0.00031293735168073434	0.0002956978241189342	0.0002573260733070518	0.0002984028958054932
PF00176	0.0005346013091212545	0.000536805280708219	0.0006107205473154029	0.0006746500252993759
PF00177	0.00023035666165387392	0.00018651708905963543	0.00022987795882096625	0.00023028919132815235
PF00178	0.0	0.0	0.0	3.2435097370162304e-06
PF00179	8.692704213353732e-06	4.54919729413745e-06	2.0586085864564142e-05	2.2704568159113613e-05
PF00180	0.000877963125548727	0.0008052079210623286	0.0009778390785667966	0.000914669745838577
PF00181	0.0001521223237336903	0.00012737752423584858	0.00014753361536270967	0.00011027933105855183
PF00182	8.692704213353732e-06	9.0983945882749e-06	2.401710017532483e-05	9.730529211048691e-06
PF00183	0.00023470301376055078	0.00019561548364791033	0.00031908433090074417	0.0001589319771137953
PF00185	0.00032597640800076497	0.0004640181240020198	0.00033623940245454766	0.000450847853445256
PF00186	0.00013473691530698284	7.27871567061992e-05	0.00010293042932282071	7.784423368838953e-05
PF00187	0.0	0.0	0.0	0.0
PF00188	9.561974634689105e-05	0.00010008234047102389	0.000144102601051949	9.730529211048691e-05
PF00189	0.00016081502794704404	0.00011827912964757368	0.00012694752949814553	0.00016217548685081154
PF00190	0.00011300515477359851	0.00011827912964757368	0.00010293042932282071	7.135721421435707e-05
PF00191	4.346352106676866e-06	4.54919729413745e-06	0.0	6.487019474032461e-06
PF00194	1.3039056320030598e-05	1.3647591882412348e-05	4.460318603988897e-05	1.9461058422097383e-05
PF00195	6.954163370682985e-05	6.823795941206174e-05	6.175825759369242e-05	7.135721421435707e-05
PF00196	0.0010996270829892471	0.0008188555129447409	0.0011802689229016773	0.0008822346484684147
PF00198	0.0006954163370682985	0.0005731988590613186	0.0006141515616261635	0.0005384226163446942
PF00199	3.911716896009179e-05	5.459036752964939e-05	3.774115741836759e-05	5.513966552927592e-05
PF00200	1.3039056320030598e-05	0.0	1.0293042932282071e-05	3.2435097370162304e-06
PF00201	4.7809873173445524e-05	5.0041170235511943e-05	5.1465214661410354e-05	3.2435097370162304e-05
PF00202	0.001721155434244039	0.0017787361420077428	0.0014410260105194898	0.0016509464561412614
PF00203	0.00015646867584036717	0.00018651708905963543	9.949941501206001e-05	0.00014271442842871414
PF00204	0.00042594250645433285	0.0003047962187072091	0.00030536027365770144	0.00028218534712041207
PF00205	0.0002955519432540269	0.0003093454160013466	0.00031908433090074417	0.00034056852238670423
PF00206	0.0009301193508288493	0.0008870934723568027	0.0008817706778654974	0.0008789911387313985
PF00207	6.519528160015299e-05	0.00015012351070653584	0.00018184375847031658	0.00016541899658782775
PF00208	0.0003868253374942411	0.00043672294023719513	0.0004014286743590008	0.00046382189239332097
PF00209	0.00017385408426707463	0.0002684026403541095	0.0001406715867411883	0.00023028919132815235
PF00210	0.0004129034501343023	0.00039123096729582065	0.0004734799748849752	0.0004119257366010613
PF00211	0.0009170802945088187	0.0008870934723568027	0.0011665448656586347	0.0008822346484684147
PF00213	0.0001912394926937821	0.00018196789176549798	0.0001784127441595559	0.0001589319771137953
PF00215	0.00022601030954719702	0.00022745986470687246	0.00022301593019944486	0.00025299375948726596
PF00216	0.00045636697120107094	0.0004412721375313326	0.0003225153452115049	0.00030488991527952565
PF00217	5.6502577386799256e-05	5.0041170235511943e-05	6.86202862152138e-05	7.784423368838953e-05
PF00218	0.0001782004363737515	0.00019106628635377288	0.0002092918729564021	0.00022704568159113614
PF00221	0.00024339571797390451	0.00020471387823618522	0.00021958491588868417	0.00022055866211710367
PF00223	6.084892949347613e-05	2.2745986470687248e-05	6.86202862152138e-05	2.5948077896129843e-05
PF00224	0.0004476742669877172	0.0005413544780023565	0.000487204032128018	0.00042165626581210997
PF00225	1.3039056320030598e-05	1.3647591882412348e-05	4.803420035064966e-05	9.730529211048691e-06
PF00226	0.0005997965907214075	0.0004913133077668445	0.0005969964900723601	0.0005092310287115482
PF00227	0.00014777597162701344	0.00018196789176549798	0.00012351651518738483	0.0001913670744839576
PF00230	0.0001260442110936291	0.00012737752423584858	0.0001063614436335814	0.00011352284079556807
PF00231	0.000421596154347656	0.0002320090620010099	0.00036711853125139383	0.00029191587633146075
PF00232	0.00015646867584036717	0.00021381227282446012	0.00026418810192857317	0.0002335327010651686
PF00233	8.692704213353732e-06	4.54919729413745e-06	1.715507155380345e-05	3.2435097370162304e-06
PF00235	0.0	0.0	3.43101431076069e-06	0.0
PF00237	0.0001521223237336903	0.0001546727080006733	0.00013380955811966692	0.00016866250632484398
PF00238	0.00013473691530698284	0.00018651708905963543	0.00016811970122727383	0.00021407164264307122
PF00239	0.00034336181642747243	0.0004139769537665079	0.00039113563142671867	0.0004865264605524346
PF00240	2.173176053338433e-05	0.0	1.372405724304276e-05	1.6217548685081152e-05
PF00241	4.346352106676866e-06	0.0	0.0	6.487019474032461e-06
PF00244	0.0	0.0	3.43101431076069e-06	3.2435097370162304e-06
PF00245	0.00028685923904067315	0.00037303417811927086	0.0002744811448608552	0.0003502990515977529
PF00246	0.0002955519432540269	0.0003593865862368585	0.00033967041676530833	0.0003211074639646068
PF00248	0.0015690331105103488	0.0014739399233005335	0.0015954216545037208	0.0015244495763976284
PF00249	4.346352106676866e-06	0.0	1.0293042932282071e-05	1.2974038948064922e-05
PF00250	4.346352106676866e-06	0.0	0.0	3.2435097370162304e-06
PF00251	0.00013473691530698284	9.098394588274899e-05	0.00011665448656586347	0.00010054880184750315
PF00252	0.0001260442110936291	0.00013647591882412347	0.00018870578709183797	0.0001816365452729089
PF00253	0.00012169785898695226	9.098394588274899e-05	8.234434345825657e-05	5.838317526629215e-05
PF00254	0.0003607472248541799	0.0002775010349423844	0.00022301593019944486	0.00022055866211710367
PF00255	0.00012169785898695226	0.00011827912964757368	0.00012694752949814553	0.00017190601606186022
PF00258	0.00016081502794704404	0.00012282832694171113	0.00011665448656586347	9.730529211048691e-05
PF00261	0.0	9.0983945882749e-06	0.0	6.487019474032461e-06
PF00262	0.0	0.0	3.43101431076069e-06	3.2435097370162304e-06
PF00263	0.0004650596754144247	0.0004412721375313326	0.0004494628747096504	0.00048003944107840213
PF00264	0.0	0.0	0.0	0.0
PF00265	6.519528160015299e-05	6.368876211792429e-05	9.263738639053864e-05	7.135721421435707e-05
PF00266	0.0017950434200575457	0.0018560724960080793	0.0017875584559063195	0.0020563851732682903
PF00267	1.7385408426707463e-05	4.54919729413745e-06	3.43101431076069e-06	3.2435097370162304e-06
PF00268	0.00011735150688027539	6.823795941206174e-05	7.548231483673518e-05	6.487019474032461e-05
PF00269	0.0	0.0	0.0	0.0
PF00270	0.001464720659950104	0.0013283656098881352	0.0013312335525751478	0.0012909168753324598
PF00271	0.0019210876311511749	0.001960704033773241	0.00198655728593044	0.0018585310793103002
PF00274	3.911716896009179e-05	1.3647591882412348e-05	1.0293042932282071e-05	1.9461058422097383e-05
PF00275	0.0007388798581350672	0.0007415191589444042	0.0007410990911243091	0.0007427637297767168
PF00276	0.0001521223237336903	0.00018196789176549798	0.0001715507155380345	0.00016541899658782775
PF00278	0.0001912394926937821	0.00016832029988308564	0.0001749817298487952	0.00014595793816573038
PF00281	0.00017385408426707463	0.00016832029988308564	0.00013037854380890622	0.00012325337000661677
