Genera
Thiomonas
Prosthecomicrobium
Parvularcula
Defluviimonas
Solirubrobacter
Rhodovibrio
Pseudoxanthomonas
Alkalilimnicola
Allochromatium
Rubrivivax
Pantoea
Afifella
Marinovum
Citromicrobium
Azorhizobium
Corynebacterium
Agrobacterium
Thiohalorhabdus
Pelomonas
Stappia
Gordonia
Shinella
Microcystis
Maribius
Oceaniovalibus
Alcanivorax
Clostridium
Fodinicurvata
Meiothermus
Starkeya
Vibrio
Acinetobacter
Prevotella
Sagittula
Maritimibacter
Chryseobacterium
Rhodopirellula
Serratia
Janthinobacterium
Blastochloris
Halorhodospira
Phaeobacter
Thermithiobacillus
Lysinimicrobium
Enterobacter
Cellulomonas
Reyranella
Herbaspirillum
Ideonella
Methylomicrobium
Sediminimonas
Neisseria
Methylosinus
Dongia
Chromohalobacter
Azospira
Propionibacterium
Chloroflexus
Bifidobacterium
Dickeya
Amycolatopsis
Gulbenkiania
Acidocella
Pararhodospirillum
Luteibacter
Duganella
Thalassospira
Flavobacterium
Lactobacillus
Bilophila
Thalassobacter
Meganema
Pseudoalteromonas
Ochrobactrum
Comamonas
Klebsiella
Treponema
Streptococcus
Odoribacter
Geobacillus
Phycicoccus
Capnocytophaga
Legionella
Brucella
Microbispora
Actinoplanes
Leifsonia
Micromonospora
Terrabacter
Akkermansia
Salinibacter
Olsenella
Halorubrum
Campylobacter
Helicobacter
Methylomonas
Cobetia
Agreia
Prochlorococcus
Leptospira
Aquitalea
Asaia
Raoultella
Salinispora
Streptacidiphilus
Thermoactinomyces
