PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF00001	2	0	0	24	10	10	3	3	10	3	0	9
PF00002	0	0	0	2	1	0	1	0	0	0	0	2
PF00003	9	0	0	10	7	0	6	0	1	4	0	3
PF00004	688	331	800	883	795	782	945	1078	1021	737	949	1199
PF00005	2272	1221	3158	3064	2755	2619	2957	3674	3453	2481	3050	3711
PF00006	198	94	263	291	246	238	288	328	262	257	314	357
PF00008	3	1	3	11	6	8	10	4	6	2	5	8
PF00009	347	174	446	468	429	401	451	506	481	407	423	530
PF00010	1	1	0	6	1	3	5	0	1	0	0	3
PF00011	86	50	135	112	130	128	136	160	126	110	137	164
PF00012	293	100	280	408	318	289	385	340	450	294	319	419
PF00013	48	24	67	69	64	59	67	77	74	47	70	102
PF00014	2	0	0	2	0	0	5	0	2	2	0	2
PF00015	116	145	268	163	174	101	303	290	297	136	122	175
PF00016	16	11	35	20	21	20	31	24	29	28	29	18
PF00017	1	0	0	6	1	1	0	1	0	0	0	1
PF00018	3	0	0	14	7	3	8	5	2	1	3	11
PF00019	0	0	0	1	0	1	0	0	0	0	0	1
PF00020	9	0	0	3	0	1	0	0	0	1	0	1
PF00021	0	0	0	0	0	0	0	0	1	0	0	0
PF00022	23	6	18	30	23	20	19	11	21	14	11	18
PF00023	220	37	79	260	152	110	181	136	171	133	122	131
PF00024	1	0	3	4	4	5	1	3	2	4	1	1
PF00025	49	11	23	61	40	56	62	48	68	28	38	52
PF00026	5	0	0	6	3	0	6	0	0	4	1	2
PF00027	185	69	279	288	230	205	297	288	341	218	200	285
PF00028	32	5	31	30	33	25	19	17	24	10	13	18
PF00030	2	0	1	2	3	1	1	2	2	2	2	3
PF00031	0	0	1	0	0	0	0	0	0	0	0	0
PF00032	19	8	16	26	18	12	16	15	24	13	12	10
PF00033	25	12	28	55	26	24	40	30	27	38	20	27
PF00034	133	38	122	217	124	77	151	117	146	141	65	126
PF00035	20	14	26	29	20	19	37	33	23	10	31	32
PF00036	79	18	41	95	41	53	75	44	66	67	47	78
PF00037	440	272	646	362	600	856	586	1062	724	570	1121	1172
PF00038	0	0	0	1	0	0	2	0	0	0	0	1
PF00040	0	0	0	0	0	0	1	0	0	0	0	1
PF00041	56	21	62	67	70	81	76	94	86	63	82	132
PF00042	6	1	8	11	3	3	11	3	3	2	2	1
PF00043	37	15	35	86	30	19	60	22	52	62	13	23
PF00044	53	27	57	62	56	60	67	90	70	53	59	82
PF00045	1	0	1	1	1	2	4	0	0	0	0	2
PF00046	2	1	0	10	0	3	4	2	5	3	0	8
PF00047	3	0	3	14	5	14	5	5	9	3	10	24
PF00050	5	0	1	8	7	4	7	6	5	8	3	5
PF00052	0	1	2	2	0	2	1	3	1	1	2	1
PF00053	0	0	2	4	0	2	0	0	2	2	4	8
PF00054	1	2	8	2	3	5	9	5	7	5	4	22
PF00055	0	0	0	0	0	0	1	0	0	0	0	1
PF00056	47	17	52	83	56	52	65	74	67	49	50	78
PF00057	0	0	0	2	2	3	3	2	2	2	1	3
PF00058	5	0	1	11	0	10	3	5	11	3	5	13
PF00059	14	0	5	12	16	11	15	17	9	11	9	27
PF00060	0	1	7	12	3	4	5	1	9	5	2	1
PF00061	1	2	1	2	3	1	4	5	3	2	2	3
PF00062	0	0	0	0	0	0	2	0	0	1	0	1
PF00063	49	1	7	37	24	11	13	2	11	12	2	14
PF00066	2	0	0	0	1	0	0	0	0	0	1	2
PF00067	58	7	38	167	58	27	116	32	78	77	17	36
PF00068	1	0	0	0	0	0	1	0	0	0	0	0
PF00069	904	51	451	1297	752	786	1148	818	1333	938	782	1150
PF00070	307	184	425	393	412	456	452	597	419	343	423	560
PF00071	72	15	33	75	49	65	75	42	85	34	39	76
PF00072	1697	732	2260	2258	2129	1975	2781	3053	3191	2025	2190	2806
PF00075	33	27	44	47	35	46	58	54	50	51	35	47
PF00076	75	13	50	88	66	62	68	59	81	65	42	89
PF00077	2	1	5	8	2	9	2	2	6	3	2	14
PF00078	132	44	131	295	175	281	261	171	255	202	183	350
PF00079	32	11	24	33	40	52	32	63	40	55	62	80
PF00080	5	1	7	9	10	3	9	13	4	10	2	3
PF00081	36	19	37	57	42	30	57	62	59	34	33	55
PF00082	220	53	177	291	206	252	290	268	292	254	210	355
PF00083	115	35	121	161	112	123	145	173	127	114	121	179
PF00084	1	0	0	4	1	3	0	0	3	1	0	0
PF00085	162	90	227	295	225	184	253	262	276	194	182	252
PF00086	0	0	0	1	0	0	1	0	0	0	0	0
PF00088	0	0	0	0	1	1	0	0	0	0	0	0
PF00089	97	45	123	175	146	125	182	152	211	134	129	183
PF00090	0	0	0	3	0	1	0	0	3	0	0	1
PF00091	41	17	39	54	54	48	64	62	58	51	66	76
PF00092	145	34	142	187	147	196	216	211	263	170	196	253
PF00093	0	1	0	0	0	1	0	0	0	1	0	0
PF00094	3	0	3	5	4	1	2	0	2	1	1	0
PF00095	1	0	0	0	1	1	1	1	0	0	1	1
PF00096	4	2	6	13	13	11	13	1	4	11	1	20
PF00097	17	0	6	14	9	3	3	1	5	9	2	0
PF00098	16	0	9	12	10	19	9	0	6	8	4	28
PF00101	6	3	12	8	7	2	12	6	11	6	1	4
PF00102	8	0	6	14	10	8	6	13	12	8	6	8
PF00104	0	0	0	0	1	1	1	0	0	0	0	1
PF00105	0	0	0	2	4	1	0	0	0	1	0	1
PF00106	795	314	984	1327	900	801	1227	1132	1123	1000	817	1120
PF00107	162	61	176	255	178	170	213	226	235	200	229	261
PF00108	146	69	194	247	187	185	219	200	183	200	156	219
PF00109	214	71	239	335	248	244	341	353	383	287	235	342
PF00110	0	0	0	0	1	0	2	0	0	0	0	0
PF00111	128	64	169	177	143	144	164	200	189	119	171	220
PF00112	19	11	11	25	32	47	34	50	47	23	37	60
PF00113	80	29	87	96	88	86	88	104	126	82	110	141
PF00114	1	6	7	1	11	2	7	4	7	2	0	1
PF00115	149	37	132	212	168	97	189	162	175	183	99	149
PF00116	34	10	22	59	20	25	41	27	36	36	17	16
PF00117	238	120	275	325	272	247	334	344	362	253	260	372
PF00118	224	60	182	237	197	249	242	278	270	231	243	329
PF00119	74	24	54	78	62	53	93	72	80	76	56	53
PF00120	123	48	133	180	140	122	148	160	151	138	124	173
PF00121	49	20	67	75	59	59	87	90	81	61	66	95
PF00122	134	73	157	170	193	162	166	237	194	159	175	233
PF00123	0	0	0	0	0	0	1	0	0	0	0	0
PF00124	42	12	66	77	36	11	53	32	49	29	10	17
PF00125	5	0	4	7	3	3	3	2	5	10	1	5
PF00126	97	74	170	240	117	71	168	113	140	118	65	121
PF00127	6	7	12	15	8	4	13	6	10	6	4	5
PF00128	188	145	268	328	239	210	322	294	334	227	199	254
PF00130	0	0	0	2	0	0	0	0	0	0	0	0
PF00132	242	123	305	304	246	330	330	372	359	267	331	413
PF00133	388	176	406	484	430	461	525	608	576	454	512	644
PF00134	8	2	1	10	6	1	7	0	5	1	2	4
PF00135	65	6	46	77	47	64	75	65	66	70	60	83
PF00136	28	2	18	24	31	49	17	39	29	23	26	45
PF00137	35	17	45	58	57	42	43	59	55	44	45	77
PF00139	2	3	6	3	4	6	6	6	2	1	2	3
PF00140	52	41	80	113	78	60	80	90	106	58	79	75
PF00141	70	24	83	97	71	68	94	94	74	75	63	93
PF00142	72	53	107	112	103	69	87	89	111	62	65	85
PF00144	230	80	228	301	276	229	319	284	274	276	228	275
PF00145	71	60	84	71	78	55	115	87	115	76	63	86
PF00146	107	29	83	121	105	101	135	103	119	94	96	155
PF00147	1	0	1	4	1	2	4	1	4	7	0	3
PF00148	89	64	177	148	151	69	139	133	185	90	70	106
PF00149	228	111	247	289	230	241	320	328	316	258	212	335
PF00150	30	7	25	15	44	39	47	52	73	38	57	72
PF00151	0	0	0	1	1	1	1	1	2	0	0	3
PF00152	189	103	226	263	248	262	284	347	294	235	268	335
PF00153	21	0	3	25	16	1	16	3	10	7	2	8
PF00154	85	42	96	123	128	117	131	136	148	102	121	148
PF00155	523	282	697	720	657	668	762	869	775	629	724	875
PF00156	148	83	175	194	150	136	183	204	200	156	203	199
PF00157	0	0	1	2	1	1	0	1	1	0	0	1
PF00158	559	241	723	663	720	656	807	1150	830	724	918	1054
PF00160	112	23	89	143	110	85	123	118	103	102	91	119
PF00161	1	0	2	1	1	0	1	0	0	0	0	0
PF00162	84	40	102	108	91	98	124	139	117	90	106	146
PF00163	14	18	35	41	32	24	40	40	38	27	24	34
PF00164	28	11	26	34	27	35	36	46	31	31	27	57
PF00165	137	81	227	195	195	140	208	233	217	153	159	202
PF00166	45	38	63	74	69	72	75	80	68	74	80	93
PF00167	0	0	0	0	0	0	1	0	0	0	0	0
PF00168	21	0	1	12	6	9	9	2	8	2	3	6
PF00169	9	2	1	10	4	2	4	2	0	4	0	3
PF00170	2	0	0	6	0	3	4	2	1	2	0	2
PF00171	406	112	414	585	413	333	494	469	454	429	334	463
PF00172	0	0	0	1	0	0	0	0	0	2	0	0
PF00173	7	1	5	3	7	4	7	4	3	5	3	4
PF00174	48	11	38	76	30	36	57	31	59	40	41	37
PF00175	48	34	72	55	85	65	71	95	75	68	70	92
PF00176	132	39	123	123	146	118	144	175	178	110	133	208
PF00177	58	22	53	57	48	41	70	61	67	52	52	71
PF00178	0	0	0	0	0	0	0	0	0	1	0	1
PF00179	5	0	2	9	8	1	8	3	6	11	2	7
PF00180	171	64	202	258	227	177	231	290	285	214	211	282
PF00181	23	19	35	36	25	28	40	43	43	26	22	34
PF00182	1	1	2	9	0	2	9	2	7	3	3	3
PF00183	44	23	54	69	64	43	80	60	93	43	36	49
PF00185	71	32	75	80	87	102	93	103	98	86	100	139
PF00186	18	12	31	31	26	16	34	29	30	19	17	24
PF00187	0	0	0	1	0	0	0	0	0	0	0	0
PF00188	20	4	22	51	21	22	40	32	42	28	20	30
PF00189	32	13	37	35	41	26	46	43	37	35	37	50
PF00190	27	6	26	25	31	26	23	38	30	21	38	22
PF00191	2	0	1	1	1	1	2	0	0	3	0	2
PF00194	4	0	3	12	4	3	6	2	13	6	3	6
PF00195	9	3	16	8	10	15	12	11	18	14	6	22
PF00196	208	82	253	294	255	180	304	293	344	228	228	272
PF00198	120	42	160	163	129	126	188	191	179	124	161	166
PF00199	7	3	9	12	7	12	14	22	11	7	17	17
PF00200	3	0	3	4	1	0	2	2	3	3	2	1
PF00201	9	3	11	20	3	11	10	6	15	8	7	10
PF00202	349	113	396	429	356	391	428	485	420	396	432	509
PF00203	22	10	36	45	27	41	42	37	29	29	21	44
PF00204	63	33	98	98	74	67	103	96	89	77	67	87
PF00205	71	27	68	72	62	68	83	85	93	67	89	105
PF00206	164	89	214	221	188	195	265	233	257	196	193	271
PF00207	16	2	15	32	19	33	39	25	53	20	35	51
PF00208	92	32	89	95	84	96	116	107	117	100	98	143
PF00209	35	27	40	68	53	59	52	72	41	55	49	71
PF00210	98	53	95	125	117	86	147	120	138	96	97	127
PF00211	146	47	211	222	188	195	263	240	340	204	219	272
PF00213	43	26	44	52	57	40	48	56	52	31	35	49
PF00215	37	26	52	49	44	50	58	68	65	50	42	78
PF00216	88	42	105	90	93	97	108	118	94	79	93	94
PF00217	18	2	13	18	12	11	16	21	20	19	26	24
PF00218	41	19	41	48	66	42	66	75	61	50	35	70
PF00221	36	20	56	51	59	45	52	56	64	59	64	68
PF00223	18	4	14	29	13	5	14	5	20	14	0	8
PF00224	95	45	103	135	115	119	131	150	142	95	96	130
PF00225	33	2	3	31	8	3	11	1	14	9	3	3
PF00226	95	54	138	142	119	108	148	155	174	100	108	157
PF00227	27	17	34	47	31	40	46	50	36	57	36	59
PF00230	33	7	29	59	27	28	40	23	31	28	24	35
PF00231	69	24	97	94	81	51	107	91	107	88	87	90
PF00232	46	13	36	50	58	47	73	69	77	43	50	72
PF00233	15	0	2	13	10	1	6	4	5	2	0	1
PF00235	0	0	0	0	0	0	1	0	1	1	0	0
PF00237	25	14	35	48	28	34	40	44	39	29	35	52
PF00238	39	18	31	31	44	41	45	41	49	38	42	66
PF00239	79	17	79	96	80	91	103	102	114	82	113	150
PF00240	18	1	5	12	4	0	9	3	4	9	3	5
PF00241	1	0	1	1	2	0	1	0	0	3	0	2
PF00244	0	0	0	4	1	0	3	2	1	4	0	1
PF00245	59	28	66	62	59	82	97	96	80	55	76	108
PF00246	55	18	68	86	86	79	74	84	99	66	100	99
PF00248	316	132	361	443	357	324	422	532	465	316	432	470
PF00249	11	0	1	4	2	0	4	0	3	2	0	4
PF00250	1	0	1	2	0	0	0	1	0	0	0	1
PF00251	21	17	31	14	28	20	33	54	34	17	44	31
PF00252	29	15	29	39	41	30	48	55	55	41	46	56
PF00253	17	5	28	31	24	20	29	31	24	17	18	18
PF00254	59	31	83	101	89	61	104	86	65	76	69	68
PF00255	38	12	28	55	45	26	43	48	37	35	25	53
PF00258	27	20	37	23	33	27	36	47	34	19	34	30
PF00261	0	0	0	3	2	2	0	0	0	0	0	2
PF00262	1	0	0	4	2	0	1	0	1	0	0	1
PF00263	83	40	107	117	100	97	118	166	131	119	128	148
PF00264	1	0	0	3	0	0	1	0	0	0	0	0
PF00265	17	12	15	19	23	14	23	18	27	13	13	22
PF00266	378	159	413	525	420	408	515	574	521	409	467	634
PF00267	1	3	4	1	4	1	2	4	1	0	0	1
PF00268	27	9	27	33	33	15	38	22	22	22	12	20
PF00269	0	0	0	0	0	0	1	0	0	0	1	0
PF00270	285	132	337	344	322	292	356	386	388	283	298	398
PF00271	336	182	442	453	405	431	473	534	579	383	417	573
PF00274	10	2	9	13	9	3	9	8	3	7	7	6
PF00275	134	83	170	204	153	163	212	220	216	153	166	229
PF00276	28	19	35	45	44	40	43	55	50	40	38	51
PF00278	37	17	44	47	36	37	50	71	51	48	51	45
PF00281	30	14	40	37	39	37	48	50	38	34	38	38
PF00282	68	9	44	93	59	39	82	67	59	64	42	69
PF00283	4	0	2	2	2	0	3	2	6	1	0	0
PF00284	4	0	1	1	1	0	2	1	5	1	0	0
PF00285	110	37	130	132	107	113	168	152	164	134	121	143
PF00287	0	0	0	1	0	0	2	0	0	0	0	0
PF00288	51	18	67	51	63	61	82	89	81	61	67	98
PF00289	69	30	101	125	89	57	109	86	81	56	60	82
PF00290	44	23	52	58	49	51	58	67	81	53	36	84
PF00291	262	133	297	367	301	327	348	369	341	327	310	420
PF00292	4	3	6	7	6	4	3	6	8	6	1	4
PF00293	138	80	186	241	156	198	200	235	239	169	176	229
PF00294	217	117	305	255	255	236	282	335	330	241	281	386
PF00295	11	2	23	9	10	14	16	30	30	19	37	36
PF00296	67	10	25	146	37	26	90	35	77	119	23	45
PF00297	30	21	27	34	30	37	35	35	30	24	32	43
PF00298	27	18	36	37	20	36	45	46	41	30	23	56
PF00300	89	41	102	162	95	122	142	118	143	130	109	136
PF00301	4	7	15	6	15	11	14	22	14	8	20	24
PF00302	1	0	1	4	2	1	1	2	3	1	2	0
PF00303	36	16	30	35	44	44	47	46	43	42	34	38
PF00305	3	0	1	2	2	0	1	0	0	0	0	0
PF00306	37	15	48	58	52	40	69	57	51	37	31	62
PF00307	4	0	4	7	3	1	3	1	0	2	0	3
PF00308	81	62	124	128	93	112	120	143	134	98	123	144
PF00309	23	9	18	27	34	29	22	39	25	30	19	38
PF00310	61	28	78	94	70	52	90	79	91	80	53	78
PF00311	73	28	86	122	80	41	130	74	110	67	37	62
PF00312	36	21	28	44	35	31	42	42	39	35	26	48
PF00313	56	40	79	62	46	53	60	94	52	68	63	77
PF00316	18	5	23	33	29	17	19	17	21	12	9	22
PF00317	31	14	26	34	26	26	33	33	33	18	25	34
PF00318	66	33	77	79	75	66	91	85	75	59	59	93
PF00319	0	0	0	1	0	0	0	0	0	0	0	0
PF00320	0	0	0	1	0	0	0	0	0	0	0	0
PF00324	70	19	77	106	99	70	101	114	78	85	90	78
PF00325	38	34	53	81	47	39	54	61	49	48	28	46
PF00326	252	78	239	380	262	196	321	319	271	268	222	290
PF00327	16	5	23	29	29	23	30	27	24	16	13	16
PF00328	3	0	0	3	2	0	3	1	1	1	0	0
PF00329	55	15	45	66	39	52	54	60	47	51	40	61
PF00330	172	70	224	241	209	226	280	292	266	203	203	291
PF00331	15	14	29	21	29	33	28	42	29	28	45	43
PF00332	2	4	7	5	6	2	7	5	7	0	7	1
PF00333	29	11	27	40	35	30	35	41	32	29	24	37
PF00334	47	24	50	53	39	48	63	64	70	62	64	79
PF00335	0	0	0	1	1	0	0	1	0	0	0	1
PF00337	0	0	0	0	0	0	1	0	0	0	0	0
PF00338	34	13	35	42	43	33	54	48	43	34	44	40
PF00339	1	0	3	2	0	1	1	1	2	0	0	1
PF00342	52	28	84	97	75	69	94	94	86	68	60	79
PF00343	117	57	181	159	163	150	188	176	177	155	186	236
PF00344	86	47	102	131	100	109	124	127	116	85	95	121
PF00345	2	0	5	1	2	0	2	1	1	2	1	1
PF00346	92	36	74	100	76	87	122	85	108	76	73	126
PF00347	40	24	53	52	57	46	68	78	71	46	47	71
PF00348	108	53	135	161	136	111	144	159	178	131	137	134
PF00349	1	1	1	0	2	1	4	2	4	1	1	3
PF00350	116	56	128	160	130	116	157	178	174	107	115	163
PF00351	11	1	11	21	14	6	13	8	10	12	7	4
PF00352	8	1	2	8	5	7	5	7	9	5	13	19
PF00353	98	22	126	161	84	80	125	91	134	95	101	130
PF00354	2	1	4	2	3	9	3	6	8	7	8	9
PF00355	73	25	64	127	57	32	90	61	93	77	46	71
PF00356	40	67	109	49	73	55	72	96	100	66	76	91
PF00358	1	8	0	2	1	3	3	1	3	2	3	3
PF00359	39	51	70	40	54	57	83	112	74	56	90	85
PF00360	1	0	7	10	2	1	5	4	14	7	0	4
PF00361	401	128	377	492	383	333	501	453	508	423	343	503
PF00362	0	0	3	5	1	2	2	2	6	2	2	3
PF00363	0	0	0	0	1	0	0	0	0	0	0	0
PF00364	157	77	220	214	204	153	240	260	225	152	141	219
PF00365	74	48	99	105	115	164	166	189	173	128	163	212
PF00366	28	15	30	34	38	30	38	43	47	26	37	53
PF00367	0	6	1	0	1	0	1	1	2	0	0	0
PF00368	31	6	23	36	35	28	49	44	50	28	25	50
PF00370	90	74	145	109	143	124	133	207	157	96	156	169
PF00372	0	0	0	1	0	0	2	0	0	1	0	0
PF00373	1	0	0	3	1	0	0	0	0	0	0	0
PF00374	53	12	78	75	76	70	78	88	105	62	83	140
PF00375	62	33	66	80	78	52	91	77	69	69	46	81
PF00376	49	24	61	75	53	36	63	58	59	35	42	67
PF00378	206	89	236	378	233	219	303	295	305	312	272	329
PF00379	0	0	1	1	3	0	1	0	2	1	2	3
PF00380	34	24	31	50	39	37	41	53	50	23	55	44
PF00381	13	23	29	27	29	28	23	49	30	30	27	41
PF00382	6	2	3	2	3	14	4	11	13	2	9	9
PF00383	94	60	86	101	78	104	99	151	114	86	106	122
PF00384	174	74	240	223	211	209	235	277	209	210	259	301
PF00385	6	2	1	22	10	5	13	0	4	2	1	6
PF00386	4	1	0	2	3	1	0	1	0	3	2	2
PF00387	0	0	1	1	1	0	0	0	0	1	0	0
PF00388	0	0	0	1	2	1	3	0	2	1	0	2
PF00389	94	58	140	94	99	107	120	147	108	73	108	144
PF00390	43	15	44	42	39	36	44	37	47	40	29	47
PF00391	53	36	93	85	76	95	84	118	86	83	134	132
PF00392	117	83	197	156	170	137	159	276	177	134	217	228
PF00393	26	11	38	35	40	42	50	57	51	37	53	55
PF00394	0	1	2	2	1	5	5	1	3	2	0	2
PF00395	13	9	24	15	12	18	29	13	38	16	6	10
PF00396	0	0	0	0	0	0	0	0	1	0	0	0
PF00397	20	0	0	10	3	3	3	2	1	2	0	2
PF00398	70	46	72	88	73	88	111	108	109	73	88	104
PF00399	0	0	0	1	0	0	0	0	0	0	0	0
PF00400	237	27	137	349	207	185	309	206	507	222	185	285
PF00401	6	6	8	9	8	10	7	20	6	7	6	10
PF00403	41	31	68	57	64	47	58	63	55	45	47	75
PF00404	15	2	13	23	15	29	33	48	31	28	36	48
PF00405	0	0	0	1	0	0	0	0	0	0	0	1
PF00406	55	28	57	61	54	53	58	69	73	51	56	70
PF00407	0	0	0	0	0	0	0	1	0	0	0	0
PF00408	50	36	83	66	58	71	78	75	69	50	76	88
PF00410	43	23	47	41	48	46	60	70	53	49	47	58
PF00411	22	10	30	48	33	26	44	38	36	28	20	36
PF00412	3	0	1	3	4	5	4	3	1	0	2	5
PF00413	17	0	7	29	16	21	14	17	26	19	10	25
PF00414	0	0	0	0	0	0	1	0	0	0	0	0
PF00415	59	11	29	78	51	63	65	59	70	50	75	86
PF00416	21	13	35	48	40	38	41	47	36	32	33	51
PF00418	0	0	0	0	1	0	0	0	0	0	0	0
PF00419	0	0	0	0	0	0	1	0	0	0	0	0
PF00420	57	30	86	67	76	68	80	77	86	57	52	73
PF00421	14	0	17	45	8	4	25	4	27	14	1	0
PF00425	80	46	107	122	92	80	135	132	128	104	86	134
PF00427	8	1	7	22	10	2	10	4	24	8	0	2
PF00428	2	0	1	1	0	3	2	4	2	3	3	5
PF00430	36	19	45	52	61	38	64	52	41	51	45	41
PF00431	3	0	3	11	3	8	2	12	6	4	3	4
PF00432	24	2	8	25	17	20	20	19	26	13	24	30
PF00433	4	0	0	1	0	0	1	1	0	0	0	0
PF00435	0	0	1	6	0	6	8	0	3	1	0	8
PF00436	49	50	78	71	79	70	77	94	110	72	54	102
PF00437	299	95	308	303	298	400	385	495	418	399	462	564
PF00438	30	19	52	42	45	41	48	55	63	36	52	62
PF00439	6	0	0	14	5	1	3	0	2	1	0	1
PF00440	182	105	262	364	260	172	296	280	231	232	175	222
PF00441	243	77	260	349	270	260	292	300	251	303	292	369
PF00443	14	0	4	14	14	7	11	2	7	4	1	4
PF00444	7	4	7	25	12	3	4	10	7	10	5	12
PF00445	3	3	4	7	3	0	3	0	1	4	1	1
PF00447	6	0	1	4	3	0	4	0	4	1	0	0
PF00448	111	65	156	163	147	143	167	182	227	116	125	200
PF00449	6	9	19	16	12	5	14	8	11	13	7	8
PF00450	7	0	7	16	8	4	10	9	10	4	6	8
PF00452	0	0	0	0	0	0	0	0	1	0	0	0
PF00453	22	14	36	34	24	28	39	43	42	33	32	35
PF00454	7	0	1	6	6	2	5	1	3	2	2	3
PF00455	27	23	52	30	30	31	40	70	40	32	46	50
PF00456	108	62	142	149	122	123	145	181	191	121	147	173
PF00457	0	1	0	1	0	1	0	0	0	0	0	0
PF00458	1	0	0	2	0	0	0	0	0	0	0	1
PF00459	133	60	166	189	144	124	177	171	180	145	125	165
PF00460	55	44	99	74	83	62	96	105	88	70	62	88
PF00462	43	20	55	74	42	44	70	63	67	43	59	69
PF00463	33	15	18	31	31	15	51	27	28	38	11	20
PF00464	78	55	107	106	110	92	137	139	125	106	126	151
PF00465	70	79	131	75	106	111	108	158	133	104	143	154
PF00466	25	22	36	52	42	37	38	53	46	43	24	45
PF00467	39	18	44	45	53	46	57	56	48	40	51	64
PF00468	2	2	13	6	14	4	8	11	3	7	6	6
PF00469	0	0	0	0	0	0	0	0	1	0	0	0
PF00471	18	11	25	28	22	23	29	27	21	35	17	25
PF00472	73	37	101	108	107	95	130	137	117	88	103	119
PF00474	242	98	254	275	291	222	332	384	303	243	297	309
PF00475	41	21	48	44	37	49	54	44	45	38	35	62
PF00476	122	45	119	136	157	132	152	151	160	147	111	160
PF00477	0	0	0	0	0	0	0	0	0	0	0	2
PF00478	100	49	111	122	104	116	139	150	128	96	119	118
PF00479	37	8	32	47	46	29	44	51	49	45	36	52
PF00480	80	58	106	101	99	102	139	159	152	92	116	167
PF00481	42	10	36	54	33	34	48	46	68	33	39	49
PF00482	150	59	147	172	171	233	208	280	222	222	234	307
PF00483	255	116	289	340	296	314	353	394	343	285	367	433
PF00484	25	5	29	37	23	24	43	22	28	37	25	24
PF00485	30	20	44	44	42	26	41	51	52	33	28	34
PF00486	194	87	197	319	204	202	293	242	309	243	188	263
PF00487	70	20	53	140	84	40	100	63	92	88	44	44
PF00488	65	32	75	94	86	88	122	96	111	71	89	93
PF00490	54	23	54	89	48	47	73	78	83	61	56	75
PF00491	57	22	88	107	87	53	85	80	102	68	57	88
PF00493	25	9	29	27	29	32	31	42	38	39	33	47
PF00494	60	25	64	98	70	56	90	67	85	59	43	63
PF00496	316	211	498	474	414	380	418	518	477	376	404	544
PF00497	129	88	244	156	183	158	203	224	231	135	152	190
PF00498	180	8	148	290	196	175	266	193	329	184	217	291
PF00499	46	15	32	48	35	43	46	33	55	34	26	58
PF00501	699	286	865	1062	849	819	1099	1118	1063	869	895	1199
PF00502	24	3	14	42	10	4	24	4	44	19	1	6
PF00503	5	0	1	5	6	1	2	2	3	5	2	5
PF00504	12	0	3	16	6	0	8	1	9	4	0	2
PF00505	7	1	0	8	2	5	4	1	1	4	0	1
PF00507	39	9	27	58	36	30	48	49	40	32	22	39
PF00510	51	11	40	77	38	23	57	34	48	45	21	29
PF00512	698	297	941	901	866	749	1086	1101	1395	769	843	1023
PF00514	47	4	19	41	36	42	42	48	69	46	53	62
PF00515	948	263	853	1298	968	1030	1410	1243	1678	1059	1141	1441
PF00519	0	0	0	0	1	0	3	0	0	2	0	0
PF00520	53	18	67	95	53	38	85	54	60	38	37	47
PF00521	161	70	189	233	213	171	222	232	233	181	162	221
PF00526	8	0	0	3	7	9	5	6	14	11	6	9
PF00528	690	490	1220	997	930	807	930	1181	1185	749	861	1156
PF00529	16	8	23	27	13	18	27	30	12	13	19	19
PF00530	0	0	0	0	1	0	0	0	1	0	1	1
PF00532	73	97	135	96	94	93	86	159	146	81	102	123
PF00533	24	18	29	23	25	34	30	46	47	39	28	44
PF00534	518	222	607	676	648	685	812	933	914	660	732	941
PF00535	584	193	607	815	655	709	806	917	954	752	768	976
PF00536	6	0	5	6	4	5	3	2	1	2	1	6
PF00538	1	0	0	1	0	0	0	0	0	2	0	1
PF00542	28	20	39	59	30	27	50	47	46	41	38	41
PF00543	48	20	69	64	45	52	68	60	68	43	60	77
PF00544	0	0	0	2	5	0	1	5	1	1	2	4
PF00545	1	0	0	1	0	2	1	0	0	1	0	2
PF00547	6	1	11	15	5	4	13	3	8	7	1	7
PF00549	44	31	79	71	63	63	84	68	52	61	61	78
PF00550	141	44	114	253	153	122	243	178	251	153	122	156
PF00551	64	42	98	116	80	91	132	130	132	111	99	156
PF00553	4	1	0	8	3	3	6	3	5	3	0	1
PF00554	0	0	0	1	1	0	0	0	0	0	0	0
PF00556	12	19	44	27	37	12	12	26	24	9	7	16
PF00557	168	78	167	196	168	152	205	228	198	173	166	235
PF00558	0	0	0	0	0	1	0	1	0	1	1	0
PF00560	71	4	33	90	67	41	108	36	87	45	37	39
PF00561	273	132	362	504	289	259	349	356	463	308	229	358
PF00562	122	39	130	136	156	134	163	159	162	129	148	189
PF00563	130	156	221	235	252	122	266	241	245	182	83	138
PF00564	1	0	0	1	1	0	0	0	0	2	1	0
PF00565	18	14	31	28	34	38	43	41	42	30	30	44
PF00566	8	0	2	14	3	1	5	3	7	5	1	2
PF00567	1	0	0	2	0	0	2	0	2	1	0	1
PF00568	0	0	0	1	0	0	0	0	0	1	0	0
PF00569	2	0	0	5	1	0	1	0	1	1	0	0
PF00570	24	23	47	61	45	44	53	43	48	36	40	62
PF00571	297	167	362	413	390	370	438	559	414	365	407	464
PF00572	40	21	51	51	42	47	40	49	60	47	42	47
PF00573	34	26	47	53	44	50	59	61	53	54	53	58
PF00574	123	55	124	148	116	94	146	152	160	133	108	128
PF00575	214	123	249	288	256	224	281	330	340	231	231	321
PF00576	4	2	12	5	6	2	4	2	3	4	1	2
PF00577	0	0	0	1	0	1	0	1	1	1	2	2
PF00578	322	142	367	496	359	300	481	436	429	362	290	372
PF00579	124	63	153	176	143	165	167	190	197	155	168	220
PF00580	175	100	204	253	233	209	270	271	248	183	228	304
