PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF12816	0	0	0	0	1	0	0	0	1	0	0	0
PF12819	2	0	3	5	1	2	7	4	0	4	5	1
PF12821	3	0	1	1	1	3	1	0	6	1	2	2
PF12822	2	4	2	2	2	4	3	4	4	2	4	7
PF12823	4	0	1	3	1	0	2	0	4	0	0	0
PF12826	39	31	53	55	47	57	55	72	73	59	56	89
PF12829	0	0	0	0	1	0	0	0	0	0	0	0
PF12831	224	100	307	244	284	373	279	536	357	259	466	594
PF12832	44	25	46	58	66	55	58	60	68	52	62	80
PF12833	149	83	233	225	206	149	229	259	222	181	156	210
PF12834	1	0	1	0	1	0	2	0	0	0	0	0
PF12835	0	0	6	0	4	5	0	3	0	1	2	2
PF12836	39	38	47	53	59	58	66	82	67	41	50	75
PF12837	254	146	359	186	339	486	316	620	387	317	628	653
PF12838	320	193	462	288	420	577	422	712	496	400	751	771
PF12840	112	76	160	162	123	134	146	182	155	135	143	184
PF12841	1	1	0	0	0	0	0	0	0	0	0	1
PF12842	0	0	0	1	1	0	0	0	1	0	1	0
PF12843	1	1	4	0	4	1	0	11	2	2	5	4
PF12844	94	73	148	169	139	95	124	166	175	107	110	116
PF12846	1	2	3	0	6	3	5	4	2	2	3	4
PF12847	6	8	8	16	6	11	11	10	18	12	14	14
PF12848	46	27	62	76	71	39	84	84	91	50	50	62
PF12849	85	30	103	125	89	120	136	116	180	95	111	148
PF12850	74	49	101	99	80	96	115	141	122	67	102	147
PF12852	7	0	5	14	4	5	11	8	7	9	2	5
PF12854	10	0	0	12	11	0	5	2	2	1	0	2
PF12857	0	0	0	0	1	1	1	2	1	0	0	1
PF12860	26	13	43	65	27	27	30	33	41	35	16	31
PF12861	6	0	1	4	0	0	0	0	0	3	0	2
PF12862	4	0	5	12	4	6	10	2	16	5	8	7
PF12864	4	1	12	5	8	2	9	7	4	3	0	1
PF12866	0	0	1	0	2	0	2	2	0	0	1	0
PF12867	60	9	38	107	53	31	79	40	69	70	43	73
PF12869	1	1	1	4	2	0	2	4	0	1	1	3
PF12870	1	0	0	1	1	0	2	0	0	0	0	0
PF12872	4	6	15	9	9	2	5	9	5	5	6	11
PF12873	1	1	1	4	3	0	1	2	2	4	0	0
PF12874	1	1	3	8	8	2	3	0	2	4	1	6
PF12875	0	0	0	0	0	0	0	0	0	0	0	2
PF12876	1	1	4	2	1	5	4	9	8	1	5	4
PF12883	0	0	0	0	1	0	1	0	0	0	0	0
PF12887	0	0	0	0	1	0	0	0	0	0	0	0
PF12889	0	0	0	0	0	0	1	0	1	0	1	1
PF12890	5	4	10	9	11	8	6	16	13	9	10	8
PF12891	2	0	2	2	2	7	7	4	4	2	3	7
PF12892	0	0	0	0	0	0	0	0	0	0	0	1
PF12893	9	3	12	16	4	0	13	4	7	2	2	6
PF12894	140	11	76	208	128	125	193	147	349	138	114	163
PF12895	137	72	163	158	144	146	205	206	214	143	177	207
PF12897	8	4	11	14	14	14	12	15	16	12	27	22
PF12898	0	0	0	1	0	0	0	0	0	0	0	0
PF12899	0	7	6	3	10	2	1	13	5	4	7	5
PF12900	4	1	8	11	7	12	14	20	14	11	11	21
PF12902	4	5	3	4	2	3	3	4	4	5	3	2
PF12903	1	1	5	1	3	2	1	2	0	1	2	2
PF12904	19	0	12	20	20	18	29	25	18	13	38	34
PF12905	0	0	0	0	0	0	0	1	2	0	2	1
PF12906	0	0	0	2	0	1	1	0	0	0	0	1
PF12907	0	0	0	0	0	0	1	0	0	1	0	0
PF12910	0	0	0	0	0	0	0	0	1	0	1	0
PF12911	47	41	84	77	84	69	57	81	73	54	71	89
PF12912	0	0	0	0	0	0	1	1	0	0	1	0
PF12913	3	2	1	3	2	1	5	4	4	1	4	3
PF12914	0	0	0	0	0	0	0	0	0	0	0	1
PF12915	9	5	9	8	5	7	7	8	4	4	6	6
PF12917	1	1	0	0	1	0	2	3	2	0	1	1
PF12919	0	0	0	0	1	0	0	0	1	0	0	0
PF12922	0	0	0	1	0	0	1	0	0	0	0	0
PF12928	0	0	0	0	0	1	2	0	0	0	0	0
PF12930	0	1	0	1	4	0	0	0	0	0	0	0
PF12931	1	0	0	1	0	0	1	0	0	0	1	0
PF12934	0	0	1	0	2	0	0	0	0	1	0	0
PF12936	1	0	0	1	0	0	1	0	0	0	1	1
PF12937	1	0	2	13	4	1	4	2	1	4	0	0
