# /home/val/src/metagenome_Pfam_score/scripts/extract_pfam.pl call:
# -matrixdir mats_sulfur
# PARAMS: COUNTPFAMONCEPERSEQ=1

PF12838	420	419	463	495	399	419	320	287	582	709	770	192
PF12857	1	1		1					1	2	1	
PF13183	162	200	164	210	158	165	125	117	206	268	301	79
PF13187	313	341	360	386	319	340	245	202	466	573	630	163
PF13193	232	201	212	222	219	221	147	251	206	243	248	80
PF13247	85	80	78	73	69	68	54	50	97	101	114	21
PF13360	191	145	106	220	267	271	170	192	277	274	383	34
PF13439	350	307	297	470	279	288	259	325	328	438	466	108
PF13442	112	86	75	80	85	93	85	119	46	74	98	22
PF13501	11	3	9	5	4	4	6	11	6	7	5	5
PF13531	92	67	106	124	75	75	46	89	58	84	94	34
PF13577	22	7	9	8	20	20	12	18	6	5	19	2
PF14306	32	37	26	40	23	24	24	30	33	41	37	5
PF14697	59	69	85	84	62	62	56	39	89	142	114	37
PF16867	2	3	4		1	1	2	3	2	1	1	1
PF17179	21	19	21	23	16	16	22	17	29	51	51	15
