Level 	ID 6 	ID 12	ID 14 	ID 36 	ID 38	ID 46	ID74 	ID 78	ID 98	ID 102	ID 108	ID 238
A_P												
A_C												
A_O			47660		12227							
A_F		8201										
B_P												
B_C												
B_O												
B_F					49611	375802	88214	21004				
C_P												
C_C	4821	138				51629						
C_O	8848	784		1774				1676	58			
C_F		7989				401453					106854	4938316
