 	sulfur 	carbon	oxygen 	iron 	nitrogen
Genomic data 	16.018 	85.332 	10.703 	10.464 	22.079
30 	13.676 	84.503 	10.438 	8.843 	20.642
60 	16.818 	85.347 	11.253 	9.567 	22.148
100 	15.566 	85.221 	9.965 	10.676 	21.43
150 	15.848 	84.81 	10.152 	10.316 	21.379
200 	15.887 	84.765 	10.463 	9.832 	21.938
250 	16.031 	85.057 	10.387 	10.215 	21.853
300 	15.929 	84.942 	10.569 	10.284 	21.968
