Sample	sulfur	carbon	oxygen	iron	nitrogen	<sulfur comp>	sulfur_1	sulfur_2	sulfur_3	sulfur_4	sulfur_5	sulfur_6	sulfur_7	sulfur_8	sulfur_9	sulfur_10	sulfur_11	sulfur_12	sulfur_13	sulfur_14	sulfur_15	sulfur_16	sulfur_17	sulfur_18	sulfur_19	sulfur_20	sulfur_21	sulfur_22	sulfur_23	sulfur_24	sulfur_25	sulfur_26	sulfur_27	sulfur_28	sulfur_29	<carbon comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
Hot spring mat Yellowstone	3.520	10.772	8.047	3.474	14.217	55.4	66.7	50.0	0.0	52.9	45.0	35.0	55.6	0.0	80.0	60.0	37.9	0.0	66.7	100.0	50.0	37.5	50.0	42.9	71.4	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	33.3	39.1	75.0	25.0	100.0	9.1	25.0	50.0	64.3	0.0	14.3	69.2	37.5	0.0
AMD biofilm 	5.159	9.276	7.634	4.824	17.251	76.8	77.8	40.0	100.0	64.7	55.0	50.0	66.7	100.0	80.0	65.0	41.4	100.0	66.7	100.0	64.3	43.8	83.3	85.7	85.7	57.1	100.0	85.7	63.6	100.0	100.0	100.0	100.0	100.0	50.0	45.0	62.5	50.0	100.0	0.0	25.0	50.0	64.3	66.7	14.3	69.2	37.5	0.0
Sargasso Sea Water 	8.020	26.993	7.378	8.700	19.469	84.9	100.0	70.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	70.0	75.9	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	91.7	55.7	87.5	50.0	100.0	27.3	50.0	50.0	85.7	66.7	14.3	100.0	37.5	0.0
Red mat CCB(reads)	5.359	13.446	7.593	7.638	18.965	80.5	88.9	60.0	100.0	64.7	65.0	45.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	52.1	75.0	50.0	100.0	18.2	75.0	50.0	71.4	33.3	14.3	100.0	37.5	0.0
Activated sludge	9.547	17.864	7.481	9.279	18.563	88.0	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	58.6	100.0	100.0	100.0	64.3	87.5	91.7	100.0	85.7	71.4	100.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	44.9	62.5	50.0	100.0	9.1	50.0	50.0	85.7	0.0	14.3	92.3	25.0	0.0
Polar  mat	5.672	16.691	7.727	8.394	18.842	81.2	88.9	80.0	100.0	64.7	65.0	50.0	77.8	100.0	100.0	70.0	62.1	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	47.4	87.5	50.0	100.0	9.1	50.0	50.0	78.6	0.0	14.3	92.3	37.5	0.0
Hot spring mat Yellowstone	2.660	3.959	7.052	3.709	10.587	44.7	44.4	30.0	0.0	41.2	40.0	20.0	44.4	0.0	80.0	40.0	20.7	0.0	66.7	0.0	42.9	31.2	33.3	14.3	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	25.0	23.9	25.0	16.7	50.0	0.0	25.0	50.0	50.0	0.0	14.3	30.8	25.0	0.0
CO2 reducing sediment Yellowstone	0.676	0.924	-0.357	1.338	2.576	18.9	22.2	0.0	0.0	5.9	10.0	10.0	11.1	0.0	40.0	25.0	10.3	0.0	0.0	100.0	28.6	6.2	58.3	85.7	42.9	0.0	0.0	14.3	45.5	0.0	0.0	0.0	0.0	25.0	8.3	5.6	12.5	0.0	16.7	0.0	0.0	0.0	7.1	0.0	0.0	30.8	0.0	0.0
Polar cryoconite	3.306	14.757	6.176	6.404	16.589	73.2	55.6	60.0	100.0	64.7	60.0	55.0	77.8	100.0	100.0	60.0	44.8	0.0	100.0	100.0	57.1	56.2	91.7	100.0	85.7	42.9	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	58.3	47.8	87.5	33.3	100.0	18.2	50.0	50.0	64.3	66.7	14.3	76.9	12.5	0.0
Open Ocean	-2.584	0.205	2.314	4.147	7.948	48.1	11.1	40.0	100.0	5.9	5.0	5.0	22.2	0.0	100.0	30.0	6.9	0.0	66.7	100.0	50.0	18.8	83.3	85.7	71.4	0.0	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	0.0	21.0	12.5	16.7	50.0	0.0	25.0	50.0	14.3	0.0	14.3	69.2	0.0	0.0
Green Mat CCB (contigs)	4.822	14.043	7.462	2.749	15.454	74.2	66.7	30.0	100.0	58.8	55.0	45.0	55.6	100.0	100.0	70.0	41.4	100.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0	41.8	75.0	25.0	100.0	18.2	25.0	50.0	64.3	33.3	28.6	69.2	12.5	0.0
Stromatolite Pozas Azules II CCB 	2.514	15.546	7.409	5.817	15.775	72.1	77.8	50.0	100.0	47.1	45.0	45.0	55.6	100.0	80.0	60.0	44.8	100.0	100.0	100.0	71.4	50.0	75.0	71.4	85.7	28.6	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	75.0	42.5	62.5	41.7	100.0	0.0	50.0	50.0	71.4	33.3	14.3	61.5	25.0	0.0
Soil  	-2.649	0.596	3.933	3.329	10.872	55.9	55.6	10.0	50.0	29.4	35.0	10.0	11.1	100.0	80.0	40.0	20.7	100.0	100.0	100.0	50.0	31.2	58.3	57.1	57.1	28.6	0.0	57.1	63.6	100.0	100.0	100.0	100.0	75.0	0.0	27.9	37.5	25.0	66.7	9.1	25.0	50.0	28.6	0.0	14.3	53.8	25.0	0.0
Hydrothermal vent Taiwan	4.760	12.707	5.715	9.282	17.467	79.6	88.9	60.0	100.0	64.7	60.0	50.0	66.7	100.0	100.0	65.0	62.1	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	48.1	87.5	50.0	100.0	18.2	50.0	50.0	64.3	33.3	14.3	84.6	25.0	0.0
Polar mats	8.261	21.365	7.686	8.010	18.871	82.8	88.9	60.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	65.0	69.0	100.0	100.0	100.0	71.4	68.8	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	83.3	50.9	87.5	58.3	100.0	9.1	50.0	50.0	85.7	33.3	14.3	84.6	37.5	0.0
AMD biofilm	7.173	15.988	7.046	6.455	17.833	79.3	88.9	50.0	100.0	76.5	65.0	60.0	77.8	100.0	100.0	55.0	51.7	100.0	100.0	100.0	71.4	75.0	83.3	85.7	85.7	71.4	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	66.7	50.5	87.5	50.0	100.0	9.1	50.0	50.0	71.4	66.7	14.3	69.2	37.5	0.0
Hydrothermal vent Taiwan	5.845	10.709	6.531	8.635	17.884	80.4	88.9	60.0	100.0	70.6	60.0	55.0	77.8	100.0	100.0	65.0	55.2	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	75.0	46.6	87.5	50.0	100.0	0.0	50.0	50.0	64.3	33.3	14.3	84.6	25.0	0.0
Alvinella pompejana –associated	9.986	13.119	3.715	8.979	14.718	74.0	100.0	60.0	100.0	76.5	70.0	60.0	77.8	100.0	80.0	60.0	55.2	0.0	66.7	100.0	64.3	50.0	83.3	85.7	85.7	57.1	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	91.7	49.2	75.0	50.0	100.0	18.2	25.0	50.0	64.3	100.0	14.3	69.2	25.0	0.0
Grassland 	-2.295	1.790	5.412	2.745	13.024	63.3	44.4	20.0	100.0	29.4	25.0	25.0	33.3	100.0	100.0	50.0	24.1	100.0	66.7	100.0	64.3	31.2	83.3	85.7	85.7	28.6	0.0	57.1	81.8	100.0	100.0	100.0	100.0	75.0	25.0	31.5	37.5	33.3	83.3	0.0	50.0	50.0	35.7	0.0	14.3	61.5	12.5	0.0
Hot spring microbial mat Yellowstone	1.188	9.122	7.319	3.474	12.362	49.9	22.2	40.0	0.0	47.1	40.0	30.0	55.6	0.0	80.0	55.0	31.0	0.0	33.3	100.0	50.0	25.0	50.0	42.9	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	25.0	34.5	62.5	16.7	100.0	9.1	25.0	50.0	57.1	0.0	14.3	53.8	25.0	0.0
Rio Mesquites Oncolite 	1.047	7.701	8.482	5.203	15.646	56.3	55.6	30.0	50.0	35.3	35.0	30.0	33.3	100.0	80.0	55.0	31.0	0.0	100.0	100.0	42.9	31.2	66.7	57.1	71.4	28.6	0.0	42.9	72.7	100.0	100.0	100.0	100.0	50.0	33.3	34.8	50.0	25.0	83.3	0.0	25.0	50.0	21.4	66.7	14.3	69.2	12.5	0.0
Acidic Hot Spring Coquito	5.856	14.253	7.160	3.957	16.082	76.4	88.9	40.0	100.0	52.9	60.0	40.0	66.7	100.0	100.0	60.0	48.3	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	57.1	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	66.7	41.3	62.5	50.0	100.0	9.1	25.0	50.0	78.6	0.0	14.3	69.2	37.5	0.0
Marine stromatolitic mat Highborne Cay	4.880	19.624	6.447	6.901	16.208	72.0	77.8	30.0	100.0	64.7	60.0	50.0	55.6	100.0	100.0	60.0	44.8	0.0	100.0	100.0	64.3	43.8	91.7	85.7	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0	51.8	87.5	50.0	100.0	18.2	50.0	50.0	78.6	66.7	14.3	69.2	37.5	0.0
