Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Caldilinea	genus	genus	233191	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea		158	6	0	0	13	14	18	16	16	21	12	16	26
Gordonia	genus	genus	2053	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia		155	8	2	9	19	10	10	27	22	11	17	11	9
Oceaniovalibus	genus	genus	1207070	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceaniovalibus		155	12	9	31	33	13	4	13	8	16	6	2	8
Archaea unclassified	genus	superkingdom	2157	Archaea							154	5	0	3	2	4	29	4	16	24	25	6	36
Corallococcus	genus	genus	83461	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus		154	13	0	7	11	15	7	19	17	13	13	23	16
Stappia	genus	genus	152161	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Stappia		154	21	5	24	23	12	6	16	12	14	10	4	7
Maribius	genus	genus	387095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Maribius		153	20	2	22	21	10	17	8	14	12	12	3	12
Thiohalorhabdus	genus	genus	492233	Bacteria	Proteobacteria	Gammaproteobacteria			Thiohalorhabdus		152	7	9	10	9	17	9	15	16	10	12	21	17
Prochlorothrix	genus	genus	1222	Bacteria	Cyanobacteria		Prochlorales	Prochlorotrichaceae	Prochlorothrix		151	15	0	8	29	9	0	23	0	55	12	0	0
Thermus	genus	genus	270	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus		149	12	0	9	10	11	15	6	23	15	18	11	19
Ramlibacter	genus	genus	174951	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter		147	0	0	22	24	10	3	20	22	0	18	0	28
Hydrogenophaga	genus	genus	47420	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga		146	14	0	16	27	6	12	16	7	4	17	18	9
Alcanivorax	genus	genus	59753	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax		145	11	7	7	3	14	9	22	15	23	12	6	16
Desulfofustis	genus	genus	51194	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfofustis		145	0	0	16	0	23	14	11	29	13	6	13	20
Ornatilinea	genus	genus	1434028	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea		145	0	0	0	11	13	18	16	20	19	11	15	22
Microcystis	genus	genus	1125	Bacteria	Cyanobacteria		Chroococcales		Microcystis		144	11	4	23	9	14	6	11	5	41	11	6	3
Fodinicurvata	genus	genus	1121829	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Fodinicurvata		144	12	7	14	24	17	3	11	9	11	18	5	13
Desulfurivibrio	genus	genus	427922	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfurivibrio		143	0	0	14	0	18	15	12	20	13	8	23	20
Methylocystaceae unclassified	genus	family	31993	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae			141	10	6	11	18	12	14	18	10	12	18	4	8
Halobacteria unclassified	genus	class	183963	Archaea	Euryarchaeota	Halobacteria					141	30	3	4	11	11	13	9	6	12	13	9	20
Bacillaceae unclassified	genus	family	186817	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae			140	7	8	12	19	6	10	22	13	15	9	10	9
Blastopirellula	genus	genus	265487	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula		140	10	0	0	13	15	17	16	20	8	13	11	17
Sagittula	genus	genus	58842	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sagittula		139	18	5	13	29	12	6	12	11	11	6	3	13
Candidatus Rokubacteria unclassified	genus	phylum	1752708	Bacteria	Candidatus Rokubacteria						139	10	0	8	10	5	20	16	13	12	9	17	19
Maritimibacter	genus	genus	404235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Maritimibacter		138	13	2	25	25	17	5	10	11	10	11	3	6
Desulfobacterium	genus	genus	2295	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium		138	0	7	14	0	15	7	16	33	18	0	12	16
Prevotella	genus	genus	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		137	6	1	15	9	19	6	15	17	15	10	15	9
Oscillochloris	genus	genus	104175	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris		137	0	0	0	17	12	0	20	17	42	18	0	11
Verrucomicrobiales unclassified	genus	order	48461	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales				136	1	8	14	12	16	9	16	16	13	0	14	17
Stigmatella	genus	genus	40	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Stigmatella		135	12	0	5	17	10	9	9	19	17	3	16	18
Vibrio	genus	genus	662	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		134	10	8	18	8	7	3	25	21	15	7	5	7
Acinetobacter	genus	genus	469	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		133	13	4	15	10	12	11	13	12	11	11	10	11
Halothiobacillus	genus	genus	109262	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Halothiobacillus		132	14	4	12	2	39	0	10	21	6	6	12	6
Starkeya	genus	genus	152053	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya		131	19	5	12	19	16	8	11	8	5	15	6	7
Sedimenticola	genus	genus	349742	Bacteria	Proteobacteria	Gammaproteobacteria			Sedimenticola		131	0	1	18	9	19	9	15	16	16	8	0	20
Rhodanobacteraceae unclassified	genus	family	1775411	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae			130	10	3	9	21	10	11	13	12	9	16	7	9
Blastochloris	genus	genus	59282	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris		129	6	4	22	15	1	13	12	10	8	10	9	19
Pedosphaera	genus	genus	1032526	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera		129	14	0	0	19	0	18	10	9	11	0	15	33
Oscillatoria	genus	genus	1158	Bacteria	Cyanobacteria		Oscillatoriales		Oscillatoria		128	11	0	27	16	13	0	13	0	48	0	0	0
Phaeobacter	genus	genus	302485	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter		128	9	3	33	32	8	1	11	12	5	5	4	5
Euryhalocaulis	genus	genus	1712422	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Euryhalocaulis		127	13	10	11	21	6	6	25	9	16	3	0	7
Alcaligenaceae unclassified	genus	family	506	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			126	10	1	9	11	11	7	11	13	13	12	10	18
Halorhodospira	genus	genus	85108	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira		125	5	4	13	12	19	12	5	13	6	9	11	16
Phaeospirillum	genus	genus	85265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum		125	8	0	15	15	13	10	14	17	8	11	1	13
Janthinobacterium	genus	genus	29580	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		124	9	2	13	14	7	8	17	7	15	16	5	11
Serratia	genus	genus	613	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia		122	7	2	11	8	12	8	11	15	14	13	11	10
Cellulomonas	genus	genus	1707	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas		122	9	2	11	17	5	14	10	7	11	7	9	20
Lyngbya	genus	genus	28073	Bacteria	Cyanobacteria		Oscillatoriales		Lyngbya		121	8	1	5	13	9	1	33	5	43	2	0	1
Cyanobium	genus	genus	167375	Bacteria	Cyanobacteria		Chroococcales		Cyanobium		121	7	0	9	23	1	1	16	5	20	2	9	28
Microgenomates group unclassified	genus	no rank	1794810	Bacteria							121	7	1	6	16	9	16	14	11	4	16	11	10
Anaerolinea	genus	genus	233189	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea		121	0	0	0	9	0	15	1	9	31	7	21	28
Clostridium	genus	genus	1485	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		120	5	21	13	3	9	13	8	11	14	5	7	11
Rhodopirellula	genus	genus	265488	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula		120	7	1	6	9	4	7	7	24	6	9	29	11
Desulfonatronospira	genus	genus	488937	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfonatronospira		119	0	10	8	0	11	12	6	17	15	0	19	21
Enterobacter	genus	genus	547	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		118	5	3	7	15	4	10	13	12	14	13	7	15
Actinomadura	genus	genus	1988	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura		118	5	0	5	14	8	9	12	3	15	20	7	20
Sphaerobacter	genus	genus	2056	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter		117	0	0	2	10	8	18	8	15	14	11	11	20
Thermaerobacter	genus	genus	73918	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter		116	2	0	3	1	17	10	7	24	11	3	22	16
Haliscomenobacter	genus	genus	2349	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter		116	0	0	11	33	28	0	22	14	8	0	0	0
Nocardioidaceae unclassified	genus	family	85015	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae			115	9	2	3	14	10	4	13	15	15	3	13	14
Thermithiobacillus	genus	genus	119979	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Thermithiobacillaceae	Thermithiobacillus		115	9	4	7	20	4	5	11	15	6	12	12	10
Spirulina	genus	genus	1154	Bacteria	Cyanobacteria		Oscillatoriales		Spirulina		115	0	0	27	14	16	0	16	0	39	3	0	0
Herbaspirillum	genus	genus	963	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum		114	7	3	9	10	5	12	12	12	8	7	13	16
Rhodomicrobium	genus	genus	1068	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium		113	7	0	9	30	14	4	9	10	6	15	5	4
Chryseobacterium	genus	genus	59732	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium		113	14	8	10	9	12	5	15	17	12	4	4	3
Nevskia	genus	genus	64001	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Nevskia		113	11	0	9	11	13	4	18	16	9	11	0	11
Lysinimicrobium	genus	genus	1217415	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Lysinimicrobium		113	5	4	8	8	8	14	10	10	11	14	7	14
Chloroflexus	genus	genus	1107	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus		111	1	2	10	9	17	1	9	10	16	10	6	20
Chromobacteriaceae unclassified	genus	family	1499392	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae			110	10	4	7	8	9	8	16	11	11	16	6	4
Wenzhouxiangella	genus	genus	1676142	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella		110	7	0	10	18	4	9	12	11	11	9	9	10
Ideonella	genus	genus	36862	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Ideonella		109	12	4	10	10	8	5	9	7	6	17	6	15
Neosynechococcus	genus	genus	1501143	Bacteria	Cyanobacteria		Chroococcales		Neosynechococcus		109	9	0	14	31	8	0	11	0	26	10	0	0
Reyranella	genus	genus	445219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		Reyranella		108	5	2	11	10	7	16	13	8	12	8	8	8
Limnochorda	genus	genus	1676651	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda		108	0	0	6	0	16	9	13	12	9	13	16	14
Neisseria	genus	genus	482	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria		107	5	3	10	16	14	7	8	10	12	3	7	12
Symbiobacterium	genus	genus	2733	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium		107	0	0	11	14	0	11	6	11	14	9	20	11
Methylosinus	genus	genus	425	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus		106	7	2	17	24	5	3	10	11	4	7	9	7
Methylomicrobium	genus	genus	39773	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium		105	5	3	12	11	10	9	10	10	21	3	3	8
Intrasporangiaceae unclassified	genus	family	85021	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			103	5	2	10	16	9	8	14	5	8	14	4	8
Luteibacter	genus	genus	242605	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter		102	5	1	11	9	8	2	10	6	16	5	7	22
Syntrophorhabdus	genus	genus	513557	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophorhabdaceae	Syntrophorhabdus		102	0	0	6	0	7	19	5	11	15	9	11	19
Bryobacter	genus	genus	911113	Bacteria	Acidobacteria	Solibacteres	Solibacterales		Bryobacter		101	17	0	0	12	6	0	21	8	8	11	5	13
Paenirhodobacter	genus	genus	1470577	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paenirhodobacter		100	7	4	15	14	8	8	9	9	14	5	7	0
Mizugakiibacter	genus	genus	1544982	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Mizugakiibacter		99	12	0	8	14	9	8	11	7	0	11	7	12
Oceanithermus	genus	genus	208447	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Oceanithermus		99	0	0	7	6	7	8	13	13	11	8	13	13
Dickeya	genus	genus	204037	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Dickeya		98	6	1	7	10	11	5	10	12	9	5	9	13
Dongia	genus	genus	1146845	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia		98	8	3	13	14	7	3	6	6	11	11	8	8
Pseudooceanicola	genus	genus	1679449	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola		98	12	1	22	18	6	4	7	5	11	6	0	6
Pirellula	genus	genus	123	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula		98	0	0	10	7	0	14	14	13	5	11	13	11
Acidocella	genus	genus	50709	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella		97	3	4	17	15	8	3	10	9	8	4	3	13
Sediminimonas	genus	genus	659427	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sediminimonas		97	13	5	12	15	9	4	6	6	4	8	8	7
Euryarchaeota unclassified	genus	phylum	28890	Archaea	Euryarchaeota						96	2	5	4	0	4	19	3	16	6	8	16	13
Gulbenkiania	genus	genus	397456	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Gulbenkiania		95	2	2	7	16	3	6	25	7	7	5	4	11
Conexibacter	genus	genus	191494	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter		95	0	0	7	7	7	10	16	11	14	11	0	12
Propionibacterium	genus	genus	1743	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium		94	6	3	6	7	6	6	9	6	8	8	16	13
Chromohalobacter	genus	genus	42054	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter		94	5	5	7	5	26	6	7	12	7	6	2	6
Desulfuromonadales unclassified	genus	order	69541	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales				94	7	6	1	6	8	9	8	14	6	7	6	16
Anaerolineaceae unclassified	genus	family	292628	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae			94	5	0	1	3	6	6	4	17	8	12	18	14
Actibacterium	genus	genus	1433986	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium		94	18	1	23	27	13	0	4	0	5	3	0	0
Methylococcus	genus	genus	413	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus		94	0	7	7	12	14	7	8	11	3	8	0	17
Thermoanaerobaculum	genus	genus	1434048	Bacteria	Acidobacteria				Thermoanaerobaculum		94	0	0	5	8	7	9	10	15	9	11	7	13
Rubinisphaera	genus	genus	1649490	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera		94	0	0	0	11	0	13	0	12	13	12	15	18
Archangium	genus	genus	47	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium		93	12	0	0	14	0	15	10	10	7	0	14	11
Nitrobacter	genus	genus	911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter		93	2	0	21	22	0	1	12	2	14	17	0	2
Azospira	genus	genus	146937	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira		92	6	3	4	6	5	9	12	9	14	6	9	9
Alkaliflexus	genus	genus	286729	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkaliflexus		92	3	13	10	0	11	2	15	11	14	4	0	9
Dethiosulfatarculus	genus	genus	1775574	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus		92	0	0	14	0	0	19	0	21	0	0	16	22
Myxococcaceae unclassified	genus	family	31	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae			90	3	2	7	12	4	4	10	11	8	6	9	14
Bifidobacterium	genus	genus	1678	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		90	2	1	12	10	4	13	5	11	11	2	12	7
Gloeobacter	genus	genus	33071	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales		Gloeobacter		89	8	0	0	26	9	6	10	0	17	13	0	0
Desulfobacterales unclassified	genus	order	213118	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales				89	4	2	10	2	6	9	4	12	13	5	8	14
Bilophila	genus	genus	35832	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila		88	3	2	15	5	2	1	9	17	7	1	14	12
Azohydromonas	genus	genus	312063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas		88	10	3	2	14	9	7	6	8	12	7	0	10
Pseudohaliea	genus	genus	1341120	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Pseudohaliea		88	9	3	10	10	7	0	11	6	8	10	0	14
Nostocaceae unclassified	genus	family	1162	Bacteria	Cyanobacteria		Nostocales	Nostocaceae			87	3	4	15	13	12	5	6	9	12	6	1	1
Amycolatopsis	genus	genus	1813	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis		87	12	1	7	8	7	9	5	8	5	7	8	10
Nitrospina	genus	genus	35800	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina		87	16	0	0	10	0	0	8	15	1	17	1	19
Chitinimonas	genus	genus	240411	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas		87	0	3	7	8	8	0	13	12	14	9	0	13
Mesotoga	genus	genus	1184396	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga		87	0	0	7	0	1	0	0	68	0	1	6	4
Syntrophus	genus	genus	43773	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus		86	0	0	9	0	9	10	0	16	5	10	15	12
Pandoraea	genus	genus	93217	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea		84	8	0	7	6	6	5	12	5	6	15	5	9
Pseudodonghicola	genus	genus	1649481	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudodonghicola		84	11	6	7	13	13	5	8	5	6	6	0	4
Azovibrio	genus	genus	146935	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azovibrio		83	9	4	6	0	8	0	9	14	7	8	8	10
Thalassobacter	genus	genus	266808	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobacter		83	2	3	16	22	4	2	10	3	8	6	2	5
Silanimonas	genus	genus	292713	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas		83	3	3	5	6	11	7	11	7	9	11	0	10
Nitrospira	genus	genus	1234	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira		83	0	0	0	9	0	7	18	7	12	12	10	8
Ardenticatena	genus	genus	1382931	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena		83	0	0	0	8	9	5	12	0	21	0	14	14
Phormidium	genus	genus	1198	Bacteria	Cyanobacteria		Oscillatoriales		Phormidium		82	9	0	0	23	0	0	15	0	28	7	0	0
Pseudomonadales unclassified	genus	order	72274	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales				82	4	4	9	8	15	6	6	9	7	5	4	5
Frigoribacterium	genus	genus	96492	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium		82	5	0	5	7	7	8	12	12	10	6	5	5
Thalassospira	genus	genus	168934	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira		82	6	3	3	13	9	5	5	13	5	7	5	8
Dyella	genus	genus	231454	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		82	3	0	11	20	1	0	34	1	0	12	0	0
Aliihoeflea	genus	genus	610116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aliihoeflea		82	8	3	10	11	9	6	11	8	3	4	0	9
Magnetospira	genus	genus	1182780	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira		82	6	0	6	10	2	10	11	8	11	6	0	12
Azotobacter	genus	genus	352	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter		81	2	0	6	5	9	5	12	17	0	6	1	18
Streptosporangiales unclassified	genus	order	85012	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales				81	6	1	4	8	7	6	9	9	7	5	5	14
Porphyromonadaceae unclassified	genus	family	171551	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae			81	3	6	7	6	12	3	10	13	9	4	2	6
Marinilabiliaceae unclassified	genus	family	558415	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae			81	5	17	11	0	25	4	3	8	4	1	3	0
Pararhodospirillum	genus	genus	1612157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pararhodospirillum		81	3	3	9	8	11	8	9	8	5	10	3	4
Duganella	genus	genus	75654	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella		80	8	3	8	10	6	3	12	4	11	9	1	5
Sorangiineae unclassified	genus	suborder	80812	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				80	5	0	1	10	13	5	12	7	4	8	8	7
Tepidimonas	genus	genus	114248	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Tepidimonas		80	6	0	1	11	8	9	17	10	6	5	0	7
Dehalococcoidia unclassified	genus	class	301297	Bacteria	Chloroflexi	Dehalococcoidia					80	2	0	0	2	1	14	1	5	0	2	45	8
Meganema	genus	genus	356797	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Meganema		80	7	2	12	5	6	9	4	5	7	3	6	14
Pseudogulbenkiania	genus	genus	568394	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Pseudogulbenkiania		80	4	0	5	7	5	9	21	2	8	6	4	9
PVC group unclassified	genus	no rank	1783257	Bacteria							80	6	2	7	6	6	7	3	7	12	3	8	13
Spiribacter	genus	genus	1335745	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Spiribacter		80	0	1	11	14	16	1	15	18	0	1	1	2
Alicycliphilus	genus	genus	201096	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus		79	11	0	9	6	4	9	6	9	7	10	2	6
Parvibaculum	genus	genus	256616	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Parvibaculum		79	7	2	6	17	4	7	10	6	8	5	0	7
Pseudolabrys	genus	genus	556257	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys		79	10	0	6	7	5	7	12	4	5	12	0	11
Pseudanabaena	genus	genus	1152	Bacteria	Cyanobacteria		Oscillatoriales		Pseudanabaena		78	11	0	0	31	8	0	15	0	13	0	0	0
Nisaea	genus	genus	390876	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Nisaea		78	6	0	8	13	3	8	7	5	9	6	0	13
Cloacimonetes unclassified	genus	phylum	456828	Bacteria	Cloacimonetes						78	2	2	9	4	8	2	8	11	9	2	11	10
Candidatus Koribacter	genus	genus	658061	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Candidatus Koribacter		77	12	0	0	7	0	0	12	9	7	8	10	12
Algiphilus	genus	genus	1266053	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Algiphilaceae	Algiphilus		77	7	0	9	13	6	0	7	13	11	5	0	6
