Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Anaerophaga	130	79	44	0	449	0	19	71	7	0	8	0
Celeribacter	67	29	171	156	71	32	53	70	53	42	18	45
Trichoderma	0	0	0	0	0	0	1	1	0	796	0	1
Rhodospirillaceae_unclassified	65	30	102	118	59	49	74	39	58	83	26	89
Actinobacteria_unclassified2	53	11	37	88	62	48	47	102	84	73	59	115
Bacteroides	41	15	81	32	93	66	66	82	48	61	92	71
Thiohalocapsa	27	5	62	63	90	108	49	42	66	35	31	155
Sorangium	63	0	26	80	74	61	84	46	70	74	67	82
Hoeflea	148	24	95	126	54	26	79	31	38	64	14	21
Oceanicaulis	98	133	58	83	102	24	52	41	41	32	5	39
Sphingomonadales_unclassified	52	12	83	110	68	43	56	41	93	45	28	64
Novosphingobium	71	6	97	152	70	37	60	39	44	33	15	65
Microbacterium	29	1	29	140	29	28	183	32	84	43	38	51
Firmicutes_unclassified	41	37	59	45	60	55	60	85	48	42	80	71
Anaeromyxobacter	41	3	31	73	40	52	80	69	75	76	58	85
Bacteroidales_unclassified	22	23	102	24	89	54	70	117	49	28	49	49
Chondromyces	55	0	20	93	53	45	81	59	70	65	48	76
Microvirga	42	6	94	105	67	5	67	70	63	57	19	70
Marinilabilia	0	564	22	0	38	0	0	22	0	0	5	0
Myxococcus	51	2	10	110	35	36	80	46	68	68	36	96
Comamonadaceae_unclassified	47	11	41	73	50	44	63	61	52	69	48	74
Roseomonas	51	24	73	61	63	50	56	43	45	55	31	79
Aurantimonas	62	29	94	88	67	43	43	56	25	51	19	51
Micrococcales_unclassified	48	12	33	64	59	49	70	62	47	64	52	62
Methylopila	48	37	110	75	38	42	50	35	51	54	19	45
Erythrobacter	78	0	72	145	89	12	80	19	61	9	0	28
Chelatococcus	40	23	86	74	49	35	51	51	43	51	29	58
Belnapia	47	19	57	95	55	44	36	44	33	51	39	65
Algoriphagus	7	83	443	10	27	0	5	1	5	0	0	0
Desulfatiglans	25	7	34	12	43	64	31	90	31	45	91	101
Sandaracinus	42	0	19	78	73	29	95	28	53	49	40	59
Sphingopyxis	51	14	61	102	38	38	53	28	31	52	29	64
Haliangium	102	0	22	68	28	32	54	46	43	60	42	54
Aeromonas	30	16	55	49	50	41	50	49	46	41	47	75
Gemmatimonas	49	0	10	74	23	19	51	52	45	87	54	85
Thiobacillus	72	0	13	51	19	27	119	33	19	154	13	24
Erythrobacteraceae_unclassified	66	8	59	80	86	26	51	30	57	28	21	32
Desulfatibacillum	12	5	71	14	39	35	43	97	51	34	64	78
Desulfomicrobium	10	10	72	11	40	47	50	100	52	16	65	67
Desulfospira	0	13	71	0	55	36	53	121	77	15	34	54
Desulfobacteraceae_unclassified	9	14	55	7	44	47	43	85	54	38	48	82
Halothece	0	39	203	0	106	0	16	127	28	0	0	0
Desulfatirhabdium	19	9	43	9	32	56	45	81	34	30	59	96
Pannonibacter	48	29	88	78	51	23	37	34	47	36	15	26
Desulfovermiculus	20	179	24	0	31	24	16	126	15	13	31	30
Salinarimonas	27	23	52	52	72	24	29	36	103	19	30	36
Brevundimonas	32	7	69	106	55	34	45	25	31	56	8	34
Desulfonatronum	6	1	49	16	42	55	39	80	44	22	77	71
Sulfitobacter	60	10	119	127	42	6	46	18	53	5	8	7
Rhodospirillum	36	7	68	59	43	41	47	32	38	47	12	57
Rhodospirillales_unclassified	30	19	60	81	30	39	39	29	41	45	19	46
Roseobacter	57	15	101	84	56	13	30	24	32	30	13	19
Enterobacteriaceae_unclassified	23	13	33	60	29	34	58	41	49	49	34	49
Haematobacter	58	18	95	68	54	27	20	27	38	25	12	28
Unclassified_Verrucomicrobia_unclassified	68	0	0	71	0	0	0	154	0	0	0	172
Rhizobium/Agrobacterium_group_unclassified	46	18	53	78	38	26	40	31	38	43	14	38
Sinorhizobium/Ensifer_group_unclassified	26	25	54	55	43	29	42	32	45	46	23	43
Rhodococcus	35	4	20	86	28	29	44	34	49	53	31	49
Desulfocarbo	24	8	44	17	29	44	32	55	39	35	71	64
Burkholderiaceae_unclassified	36	8	26	45	31	47	54	42	34	47	31	56
Phenylobacterium	40	10	38	64	41	26	49	37	34	63	19	34
Rhizobiaceae_unclassified	38	16	46	62	39	33	45	34	43	37	16	43
Oscillatoriales_unclassified	30	4	73	89	19	7	40	10	141	32	2	4
Paenibacillus	23	11	49	49	30	31	39	55	47	38	29	49
Gemmobacter	40	16	85	68	43	22	29	47	25	27	18	29
Thauera	32	4	44	47	39	32	54	42	26	36	32	51
Skermanella	24	15	60	52	29	27	38	34	39	42	24	51
Caulobacter	43	9	44	73	31	16	43	35	43	47	15	35
Corynebacteriales_unclassified	29	8	27	47	26	25	52	48	37	37	43	54
Cyanobacteria_unclassified	34	8	47	59	27	12	44	31	104	34	13	11
Lamprocystis	16	3	34	44	35	54	39	30	40	38	23	66
Xanthobacter	28	18	67	59	53	21	18	26	27	40	14	50
Inquilinus	22	11	24	87	22	23	83	32	38	27	15	31
Lysobacter	37	8	17	76	26	24	46	28	18	56	30	45
Unclassified_Burkholderiales_unclassified	55	10	38	58	14	31	56	13	41	25	19	51
Xanthomonadales_unclassified	23	7	32	60	33	26	40	37	36	48	23	41
Desulfocurvus	13	13	36	16	34	34	35	50	46	30	34	65
Opitutaceae_unclassified	24	12	46	15	20	55	32	44	33	20	24	66
Methanohalophilus	4	230	6	0	5	0	0	113	0	0	32	0
Nocardioides	22	4	19	42	19	25	63	45	38	35	34	42
Massilia	25	9	33	38	19	21	37	32	46	60	23	41
Thioflavicoccus	19	6	36	36	51	29	33	18	39	31	19	65
Candidatus_Solibacter	56	0	20	36	36	22	61	26	22	35	30	36
Oscillatoriophycideae_unclassified	40	4	42	72	29	9	33	26	66	30	14	15
Desulfuromonas	15	4	29	18	32	32	37	48	34	28	42	59
Xanthomonas	30	8	32	41	38	27	45	30	34	35	19	37
Arthrobacter	21	7	29	40	19	38	38	40	34	28	31	43
Geminicoccus	22	24	39	41	40	26	33	28	21	24	26	39
Acetobacteraceae_unclassified	35	6	34	43	34	24	30	25	27	35	19	50
Geitlerinema	33	0	14	59	10	5	67	14	110	49	0	0
Flavobacteriaceae_unclassified	38	17	45	38	53	14	45	40	28	14	12	11
Chloroflexi_unclassified	26	0	17	21	28	34	26	48	30	33	44	47
Deferrisoma	26	1	23	17	25	42	27	41	25	17	47	59
Parcubacteria_group_unclassified	19	19	28	13	34	23	27	39	28	37	51	31
Acidovorax	37	7	29	42	27	21	36	37	25	28	21	35
Rubellimicrobium	26	15	59	58	36	30	22	21	19	21	13	25
Methylibium	12	3	26	83	17	20	39	37	17	53	8	30
Rhodothermaceae_unclassified	20	7	14	40	24	33	26	42	36	31	30	42
Afipia	32	3	36	93	18	14	44	25	20	35	9	15
Roseibacterium	17	91	55	21	45	8	8	61	14	10	5	9
Xanthobacteraceae_unclassified	31	18	48	50	34	13	33	20	25	28	18	26
Marichromatium	16	6	40	30	51	27	29	30	25	26	18	45
Elioraea	35	13	43	56	28	28	23	23	27	30	14	22
Haloferula	18	0	31	36	20	21	35	50	26	23	43	39
Bacillales_unclassified	23	19	27	38	18	25	36	27	35	17	24	51
Cyanobacterium	35	5	256	7	24	0	8	0	5	0	0	0
Sinorhizobium	13	8	69	77	23	8	36	17	22	30	9	25
Desulfobacter	2	1	43	2	45	12	29	88	42	7	28	36
Desulfarculus	10	9	29	10	22	39	22	54	26	17	35	61
Rhodobacterales_unclassified	32	19	40	44	33	9	33	23	32	24	19	22
Desulfovibrionales_unclassified	10	13	34	17	27	32	21	43	26	26	36	44
Hyphomicrobium	30	4	35	73	17	13	35	18	27	49	6	21
Azoarcus	15	0	25	38	18	20	49	34	27	55	5	41
Opitutus	11	0	23	24	27	34	24	28	35	26	37	51
Isosphaera	41	0	8	22	13	27	35	25	75	16	27	27
Deinococcus	21	4	15	32	17	17	35	51	30	24	21	46
Geminocystis	23	0	246	0	32	0	2	0	7	0	0	0
Alistipes	13	8	20	28	35	16	32	33	35	27	31	26
Labrenzia	33	6	53	70	15	11	42	19	26	8	5	16
Cystobacter	29	0	10	35	18	14	33	23	29	36	35	40
Salipiger	16	13	68	52	30	17	25	18	17	14	8	24
Rhodanobacter	19	8	21	40	27	30	30	29	22	26	22	24
Cyanothece	21	4	81	50	40	3	14	3	55	22	0	2
Planctomycetaceae_unclassified	26	0	10	34	13	30	26	34	21	38	36	26
Methylocystis	23	16	31	56	13	18	36	15	22	25	14	23
Caenispirillum	24	6	65	28	24	17	25	27	19	20	10	27
