Core.size Pan.size BIC LogLikelihood
2 components 373 1432 9402.56093133229 -4690.38127249681
3 components 359 1481 6830.59046521229 -3397.12991065725
4 components 297 1549 6604.75912112611 -3276.94810983461
5 components 150 1580 6603.53053185617 -3269.06768642008
6 components 157 1606 6617.45744118223 -3268.76501230356
7 components 143 1639 6631.63391123812 -3268.58711855194
8 components 130 1644 6646.17493992878 -3268.59150411772
9 components 122 1585 6661.6479797305 -3269.06189523902
10 components 114 1603 6675.90747388918 -3268.9255135388
Sample 373 1431 NA NA
